municipality,treated,week_index,week_start,is_post,week_rel,revenue_pc
Faxe,FALSE,1,2024-08-26,FALSE,-12,3.5228636197422403
Greve,TRUE,1,2024-08-26,FALSE,-12,3.3915224914541255
Guldborgsund,TRUE,1,2024-08-26,FALSE,-12,3.7909064124864176
Holbaek,TRUE,1,2024-08-26,FALSE,-12,3.7026877514046164
Kalundborg,TRUE,1,2024-08-26,FALSE,-12,3.14880404932218
Koege,TRUE,1,2024-08-26,FALSE,-12,3.5454328451952035
Lejre,FALSE,1,2024-08-26,FALSE,-12,3.465216774528754
Lolland,TRUE,1,2024-08-26,FALSE,-12,3.45669440492432
Naestved,TRUE,1,2024-08-26,FALSE,-12,3.404724166015782
Odsherred,FALSE,1,2024-08-26,FALSE,-12,3.3800819343646964
Ringsted,FALSE,1,2024-08-26,FALSE,-12,3.3388158389776614
Roskilde,TRUE,1,2024-08-26,FALSE,-12,3.459643734711253
Slagelse,TRUE,1,2024-08-26,FALSE,-12,3.3731282460291747
Solroed,TRUE,1,2024-08-26,FALSE,-12,3.5121705089742896
Soroe,FALSE,1,2024-08-26,FALSE,-12,3.634645154058983
Stevns,TRUE,1,2024-08-26,FALSE,-12,3.84032958862422
Vordingborg,FALSE,1,2024-08-26,FALSE,-12,3.339363493126641
Assens,FALSE,1,2024-08-26,FALSE,-12,3.3503668254601133
Billund,FALSE,1,2024-08-26,FALSE,-12,3.3621377986682246
Esbjerg,FALSE,1,2024-08-26,FALSE,-12,3.867201473090547
Fanoe,FALSE,1,2024-08-26,FALSE,-12,3.326953163443214
Fredericia,FALSE,1,2024-08-26,FALSE,-12,2.9833215966999713
Faaborg-Midtfyn,FALSE,1,2024-08-26,FALSE,-12,3.5475644973033695
Haderslev,FALSE,1,2024-08-26,FALSE,-12,3.066885667266992
Kerteminde,TRUE,1,2024-08-26,FALSE,-12,3.208967929179261
Kolding,FALSE,1,2024-08-26,FALSE,-12,3.7300700978555947
Langeland,TRUE,1,2024-08-26,FALSE,-12,3.598016410871767
Middelfart,TRUE,1,2024-08-26,FALSE,-12,3.507213194984676
Nordfyns,TRUE,1,2024-08-26,FALSE,-12,3.069399644286014
Nyborg,FALSE,1,2024-08-26,FALSE,-12,3.379913385104111
Odense,TRUE,1,2024-08-26,FALSE,-12,3.073565018127567
Svendborg,TRUE,1,2024-08-26,FALSE,-12,3.6664170994326177
Soenderborg,TRUE,1,2024-08-26,FALSE,-12,3.3507089619552968
Toender,TRUE,1,2024-08-26,FALSE,-12,3.0225099038297962
Varde,TRUE,1,2024-08-26,FALSE,-12,3.5441936624030155
Vejen,TRUE,1,2024-08-26,FALSE,-12,3.6442087258168927
Vejle,TRUE,1,2024-08-26,FALSE,-12,3.3041749938498994
Aeroe,TRUE,1,2024-08-26,FALSE,-12,3.4083610824293693
Aabenraa,TRUE,1,2024-08-26,FALSE,-12,3.4447463776911387
Favrskov,FALSE,1,2024-08-26,FALSE,-12,3.3809339749127183
Hedensted,TRUE,1,2024-08-26,FALSE,-12,3.6100224974801574
Herning,FALSE,1,2024-08-26,FALSE,-12,3.486053850952265
Holstebro,TRUE,1,2024-08-26,FALSE,-12,3.207284704819945
Horsens,FALSE,1,2024-08-26,FALSE,-12,3.2363990341524556
Ikast-Brande,FALSE,1,2024-08-26,FALSE,-12,3.4859748864756512
Lemvig,TRUE,1,2024-08-26,FALSE,-12,3.4404810202330296
Norddjurs,FALSE,1,2024-08-26,FALSE,-12,3.341918374585046
Odder,FALSE,1,2024-08-26,FALSE,-12,3.3863524869360075
Randers,FALSE,1,2024-08-26,FALSE,-12,3.3325389160603516
Ringkoebing-Skjern,FALSE,1,2024-08-26,FALSE,-12,3.1563519922382466
Samsoe,FALSE,1,2024-08-26,FALSE,-12,3.5877890662478333
Silkeborg,TRUE,1,2024-08-26,FALSE,-12,3.5576394868968872
Skanderborg,FALSE,1,2024-08-26,FALSE,-12,3.4006571918604225
Skive,FALSE,1,2024-08-26,FALSE,-12,2.847696487530547
Struer,TRUE,1,2024-08-26,FALSE,-12,3.2918228164754604
Syddjurs,FALSE,1,2024-08-26,FALSE,-12,3.479985913768352
Viborg,TRUE,1,2024-08-26,FALSE,-12,3.5257194557760516
Aarhus,TRUE,1,2024-08-26,FALSE,-12,3.2918663305944063
Broenderslev,FALSE,1,2024-08-26,FALSE,-12,3.300235634358193
Frederikshavn,TRUE,1,2024-08-26,FALSE,-12,3.4426014868049437
Hjoerring,FALSE,1,2024-08-26,FALSE,-12,3.554447756677564
Jammerbugt,TRUE,1,2024-08-26,FALSE,-12,3.6885665774004135
Laesoe,FALSE,1,2024-08-26,FALSE,-12,3.763593580922805
Mariagerfjord,FALSE,1,2024-08-26,FALSE,-12,3.3247877618329356
Morsoe,TRUE,1,2024-08-26,FALSE,-12,3.4046185808393847
Rebild,TRUE,1,2024-08-26,FALSE,-12,3.3367878533727633
Thisted,FALSE,1,2024-08-26,FALSE,-12,3.365595772955678
Vesthimmerland,TRUE,1,2024-08-26,FALSE,-12,3.264577745206833
Aalborg,TRUE,1,2024-08-26,FALSE,-12,3.409058575568268
Albertslund,FALSE,2,2024-09-02,FALSE,-11,3.480606966069023
Alleroed,FALSE,2,2024-09-02,FALSE,-11,3.365112317457001
Ballerup,FALSE,2,2024-09-02,FALSE,-11,3.027040585760483
Bornholm,FALSE,2,2024-09-02,FALSE,-11,3.3247234668584498
Broendby,TRUE,2,2024-09-02,FALSE,-11,3.093754327054577
Dragoer,TRUE,2,2024-09-02,FALSE,-11,3.0697307174487936
Egedal,FALSE,2,2024-09-02,FALSE,-11,3.547083840397132
Fredensborg,FALSE,2,2024-09-02,FALSE,-11,3.3334464691684573
Frederiksberg,FALSE,2,2024-09-02,FALSE,-11,3.2168916885162315
Frederikssund,TRUE,2,2024-09-02,FALSE,-11,3.2630114546705467
Furesoe,FALSE,2,2024-09-02,FALSE,-11,3.4647867460005455
Gentofte,TRUE,2,2024-09-02,FALSE,-11,3.358787301710526
Gladsaxe,FALSE,2,2024-09-02,FALSE,-11,3.249007393646672
Glostrup,TRUE,2,2024-09-02,FALSE,-11,3.2897630744935227
Gribskov,TRUE,2,2024-09-02,FALSE,-11,3.296678171708305
Halsnaes,FALSE,2,2024-09-02,FALSE,-11,3.346088363743578
Helsingoer,TRUE,2,2024-09-02,FALSE,-11,3.598976584895756
Herlev,FALSE,2,2024-09-02,FALSE,-11,3.2428333206810933
Hilleroed,FALSE,2,2024-09-02,FALSE,-11,3.882539394934458
Hvidovre,FALSE,2,2024-09-02,FALSE,-11,3.6075351845242896
Hoeje-Taastrup,FALSE,2,2024-09-02,FALSE,-11,3.389224383722678
Hoersholm,FALSE,2,2024-09-02,FALSE,-11,3.452081020248229
Ishoej,FALSE,2,2024-09-02,FALSE,-11,3.1514925302954673
Koebenhavn,TRUE,2,2024-09-02,FALSE,-11,3.2572332450753194
Lyngby-Taarbaek,TRUE,2,2024-09-02,FALSE,-11,3.370472049246738
Rudersdal,TRUE,2,2024-09-02,FALSE,-11,3.0600030883222082
Roedovre,TRUE,2,2024-09-02,FALSE,-11,3.2266758342684847
Taarnby,TRUE,2,2024-09-02,FALSE,-11,3.5602424292240253
Vallensbaek,FALSE,2,2024-09-02,FALSE,-11,3.5476079485959837
Faxe,FALSE,2,2024-09-02,FALSE,-11,3.4009945072364225
Greve,TRUE,2,2024-09-02,FALSE,-11,3.39494009540391
Guldborgsund,TRUE,2,2024-09-02,FALSE,-11,3.717734132170441
Holbaek,TRUE,2,2024-09-02,FALSE,-11,3.5946125072824904
Kalundborg,TRUE,2,2024-09-02,FALSE,-11,3.1992761673640246
Koege,TRUE,2,2024-09-02,FALSE,-11,3.3845600681433665
Lejre,FALSE,2,2024-09-02,FALSE,-11,3.530652296559322
Lolland,TRUE,2,2024-09-02,FALSE,-11,3.395918893405625
Naestved,TRUE,2,2024-09-02,FALSE,-11,3.412487777134477
Odsherred,FALSE,2,2024-09-02,FALSE,-11,3.420327499858752
Ringsted,FALSE,2,2024-09-02,FALSE,-11,3.2541243302245872
Roskilde,TRUE,2,2024-09-02,FALSE,-11,3.3675100779393783
Slagelse,TRUE,2,2024-09-02,FALSE,-11,3.426317192101794
Solroed,TRUE,2,2024-09-02,FALSE,-11,3.375279123844333
Soroe,FALSE,2,2024-09-02,FALSE,-11,3.596239954989114
Stevns,TRUE,2,2024-09-02,FALSE,-11,3.8300158342465087
Vordingborg,FALSE,2,2024-09-02,FALSE,-11,3.212743929591237
Assens,FALSE,2,2024-09-02,FALSE,-11,3.3229643778503006
Billund,FALSE,2,2024-09-02,FALSE,-11,3.3137205499833535
Esbjerg,FALSE,2,2024-09-02,FALSE,-11,3.7004825831148103
Fanoe,FALSE,2,2024-09-02,FALSE,-11,3.172421365477827
Fredericia,FALSE,2,2024-09-02,FALSE,-11,2.9499658752165767
Faaborg-Midtfyn,FALSE,2,2024-09-02,FALSE,-11,3.394014997038585
Haderslev,FALSE,2,2024-09-02,FALSE,-11,3.1067716771944096
Kerteminde,TRUE,2,2024-09-02,FALSE,-11,3.1157960282343877
Kolding,FALSE,2,2024-09-02,FALSE,-11,3.699719830456379
Langeland,TRUE,2,2024-09-02,FALSE,-11,3.530197427440927
Middelfart,TRUE,2,2024-09-02,FALSE,-11,3.455980223908124
Nordfyns,TRUE,2,2024-09-02,FALSE,-11,3.034538500252979
Nyborg,FALSE,2,2024-09-02,FALSE,-11,3.232404510455329
Odense,TRUE,2,2024-09-02,FALSE,-11,3.0761439068499907
Svendborg,TRUE,2,2024-09-02,FALSE,-11,3.6269734441897175
Soenderborg,TRUE,2,2024-09-02,FALSE,-11,3.2969752596148183
Toender,TRUE,2,2024-09-02,FALSE,-11,2.995946863810432
Varde,TRUE,2,2024-09-02,FALSE,-11,3.5650196671841834
Vejen,TRUE,2,2024-09-02,FALSE,-11,3.5943531389679935
Vejle,TRUE,2,2024-09-02,FALSE,-11,3.215947932607398
Aeroe,TRUE,2,2024-09-02,FALSE,-11,3.3466091009937635
Aabenraa,TRUE,2,2024-09-02,FALSE,-11,3.4387588658733743
Favrskov,FALSE,2,2024-09-02,FALSE,-11,3.306302650305551
Hedensted,TRUE,2,2024-09-02,FALSE,-11,3.640653632702859
Herning,FALSE,2,2024-09-02,FALSE,-11,3.3982536704711914
Holstebro,TRUE,2,2024-09-02,FALSE,-11,3.193591542677809
Horsens,FALSE,2,2024-09-02,FALSE,-11,3.171094953221509
Ikast-Brande,FALSE,2,2024-09-02,FALSE,-11,3.336653411148354
Lemvig,TRUE,2,2024-09-02,FALSE,-11,3.5585296739140255
Norddjurs,FALSE,2,2024-09-02,FALSE,-11,3.3040546250961715
Odder,FALSE,2,2024-09-02,FALSE,-11,3.2287719948395224
Randers,FALSE,2,2024-09-02,FALSE,-11,3.295231083839793
Ringkoebing-Skjern,FALSE,2,2024-09-02,FALSE,-11,3.1552404021562093
Samsoe,FALSE,2,2024-09-02,FALSE,-11,3.4610897605398847
Silkeborg,TRUE,2,2024-09-02,FALSE,-11,3.440623491462237
Skanderborg,FALSE,2,2024-09-02,FALSE,-11,3.3618674698954716
Skive,FALSE,2,2024-09-02,FALSE,-11,2.808323429354089
Struer,TRUE,2,2024-09-02,FALSE,-11,3.2150193871906305
Syddjurs,FALSE,2,2024-09-02,FALSE,-11,3.5152334347475684
Viborg,TRUE,2,2024-09-02,FALSE,-11,3.5060917093170425
Aarhus,TRUE,2,2024-09-02,FALSE,-11,3.2722314010872924
Broenderslev,FALSE,2,2024-09-02,FALSE,-11,3.2555216278485735
Frederikshavn,TRUE,2,2024-09-02,FALSE,-11,3.365112686769234
Hjoerring,FALSE,2,2024-09-02,FALSE,-11,3.3246809293749844
Jammerbugt,TRUE,2,2024-09-02,FALSE,-11,3.625586846544316
Laesoe,FALSE,2,2024-09-02,FALSE,-11,3.6284591802319834
Mariagerfjord,FALSE,2,2024-09-02,FALSE,-11,3.208728860029266
Morsoe,TRUE,2,2024-09-02,FALSE,-11,3.400886518647344
Rebild,TRUE,2,2024-09-02,FALSE,-11,3.1702305402063673
Thisted,FALSE,2,2024-09-02,FALSE,-11,3.275362804489175
Vesthimmerland,TRUE,2,2024-09-02,FALSE,-11,3.1443982568295157
Aalborg,TRUE,2,2024-09-02,FALSE,-11,3.317415600904677
Albertslund,FALSE,3,2024-09-09,FALSE,-10,3.2729583392246515
Alleroed,FALSE,3,2024-09-09,FALSE,-10,3.1458103345472623
Ballerup,FALSE,3,2024-09-09,FALSE,-10,2.8054506257096263
Bornholm,FALSE,3,2024-09-09,FALSE,-10,3.0866260266517775
Broendby,TRUE,3,2024-09-09,FALSE,-10,2.8432174687496996
Dragoer,TRUE,3,2024-09-09,FALSE,-10,2.9399722930008054
Egedal,FALSE,3,2024-09-09,FALSE,-10,3.258144282271357
Fredensborg,FALSE,3,2024-09-09,FALSE,-10,3.1469436837501044
Frederiksberg,FALSE,3,2024-09-09,FALSE,-10,2.858177063456432
Frederikssund,TRUE,3,2024-09-09,FALSE,-10,2.931645876606657
Furesoe,FALSE,3,2024-09-09,FALSE,-10,3.161341678378152
Gentofte,TRUE,3,2024-09-09,FALSE,-10,3.0791482625362034
Gladsaxe,FALSE,3,2024-09-09,FALSE,-10,2.9928215799703355
Glostrup,TRUE,3,2024-09-09,FALSE,-10,3.0137499793181877
Gribskov,TRUE,3,2024-09-09,FALSE,-10,3.0399170604023387
Halsnaes,FALSE,3,2024-09-09,FALSE,-10,3.0838335050383647
Helsingoer,TRUE,3,2024-09-09,FALSE,-10,3.346046425158624
Herlev,FALSE,3,2024-09-09,FALSE,-10,2.9393411122399073
Hilleroed,FALSE,3,2024-09-09,FALSE,-10,3.5843125862034966
Hvidovre,FALSE,3,2024-09-09,FALSE,-10,3.3560368468643413
Hoeje-Taastrup,FALSE,3,2024-09-09,FALSE,-10,3.1399492598825716
Hoersholm,FALSE,3,2024-09-09,FALSE,-10,3.176300460771745
Ishoej,FALSE,3,2024-09-09,FALSE,-10,2.8664095299164583
Koebenhavn,TRUE,3,2024-09-09,FALSE,-10,3.1455873082202186
Lyngby-Taarbaek,TRUE,3,2024-09-09,FALSE,-10,3.060284626471083
Rudersdal,TRUE,3,2024-09-09,FALSE,-10,2.8003143230584877
Roedovre,TRUE,3,2024-09-09,FALSE,-10,3.1057489731589007
Taarnby,TRUE,3,2024-09-09,FALSE,-10,3.316017892246485
Vallensbaek,FALSE,3,2024-09-09,FALSE,-10,3.3295495122368868
Faxe,FALSE,3,2024-09-09,FALSE,-10,3.0926739626045006
Greve,TRUE,3,2024-09-09,FALSE,-10,3.0686449482267593
Guldborgsund,TRUE,3,2024-09-09,FALSE,-10,3.383381287595812
Holbaek,TRUE,3,2024-09-09,FALSE,-10,3.3246809964986537
Kalundborg,TRUE,3,2024-09-09,FALSE,-10,2.9509221102827805
Koege,TRUE,3,2024-09-09,FALSE,-10,3.13874141805124
Lejre,FALSE,3,2024-09-09,FALSE,-10,3.215101012644923
Lolland,TRUE,3,2024-09-09,FALSE,-10,3.1587201322270464
Naestved,TRUE,3,2024-09-09,FALSE,-10,3.1769168959967513
Odsherred,FALSE,3,2024-09-09,FALSE,-10,3.09364222952378
Ringsted,FALSE,3,2024-09-09,FALSE,-10,3.0898966036044526
Roskilde,TRUE,3,2024-09-09,FALSE,-10,3.1253423415651054
Slagelse,TRUE,3,2024-09-09,FALSE,-10,3.1234937043424087
Solroed,TRUE,3,2024-09-09,FALSE,-10,3.1608375193610874
Soroe,FALSE,3,2024-09-09,FALSE,-10,3.19221387077133
Stevns,TRUE,3,2024-09-09,FALSE,-10,3.535297993958034
Vordingborg,FALSE,3,2024-09-09,FALSE,-10,3.022475369361306
Assens,FALSE,3,2024-09-09,FALSE,-10,3.064003709823694
Billund,FALSE,3,2024-09-09,FALSE,-10,3.1097240512610007
Esbjerg,FALSE,3,2024-09-09,FALSE,-10,3.443508301618141
Fanoe,FALSE,3,2024-09-09,FALSE,-10,2.943984633440481
Fredericia,FALSE,3,2024-09-09,FALSE,-10,2.7860779579181547
Faaborg-Midtfyn,FALSE,3,2024-09-09,FALSE,-10,3.1878493647788164
Haderslev,FALSE,3,2024-09-09,FALSE,-10,2.85148131162497
Kerteminde,TRUE,3,2024-09-09,FALSE,-10,2.960301130760423
Kolding,FALSE,3,2024-09-09,FALSE,-10,3.355800174719524
Langeland,TRUE,3,2024-09-09,FALSE,-10,3.32179842305624
Middelfart,TRUE,3,2024-09-09,FALSE,-10,3.2059208991229564
Nordfyns,TRUE,3,2024-09-09,FALSE,-10,2.753081323828307
Nyborg,FALSE,3,2024-09-09,FALSE,-10,3.0761052590908937
Odense,TRUE,3,2024-09-09,FALSE,-10,2.7951507678646337
Svendborg,TRUE,3,2024-09-09,FALSE,-10,3.3114702554198834
Soenderborg,TRUE,3,2024-09-09,FALSE,-10,2.961339561941036
Toender,TRUE,3,2024-09-09,FALSE,-10,2.7248063729011265
Varde,TRUE,3,2024-09-09,FALSE,-10,3.1754389782052796
Vejen,TRUE,3,2024-09-09,FALSE,-10,3.366608049543295
Vejle,TRUE,3,2024-09-09,FALSE,-10,2.937279725184389
Aeroe,TRUE,3,2024-09-09,FALSE,-10,3.1164346812991
Aabenraa,TRUE,3,2024-09-09,FALSE,-10,3.120096519187478
Favrskov,FALSE,3,2024-09-09,FALSE,-10,2.970273680189366
Hedensted,TRUE,3,2024-09-09,FALSE,-10,3.3336629913784055
Herning,FALSE,3,2024-09-09,FALSE,-10,3.1267871738308686
Holstebro,TRUE,3,2024-09-09,FALSE,-10,2.960862659195911
Horsens,FALSE,3,2024-09-09,FALSE,-10,2.989241999994907
Ikast-Brande,FALSE,3,2024-09-09,FALSE,-10,3.1135642083748998
Lemvig,TRUE,3,2024-09-09,FALSE,-10,3.2280663223790755
Norddjurs,FALSE,3,2024-09-09,FALSE,-10,3.058751855140349
Odder,FALSE,3,2024-09-09,FALSE,-10,3.052178715008239
Randers,FALSE,3,2024-09-09,FALSE,-10,3.071628703110225
Ringkoebing-Skjern,FALSE,3,2024-09-09,FALSE,-10,2.8880934005476218
Samsoe,FALSE,3,2024-09-09,FALSE,-10,3.360456432113168
Silkeborg,TRUE,3,2024-09-09,FALSE,-10,3.0762609353770083
Skanderborg,FALSE,3,2024-09-09,FALSE,-10,3.18826342564736
Skive,FALSE,3,2024-09-09,FALSE,-10,2.6571857822162315
Struer,TRUE,3,2024-09-09,FALSE,-10,2.9727712128756756
Syddjurs,FALSE,3,2024-09-09,FALSE,-10,3.231609492809084
Viborg,TRUE,3,2024-09-09,FALSE,-10,3.250215651639791
Aarhus,TRUE,3,2024-09-09,FALSE,-10,3.0899583715281627
Broenderslev,FALSE,3,2024-09-09,FALSE,-10,3.0154632450145287
Frederikshavn,TRUE,3,2024-09-09,FALSE,-10,3.1456010702539436
Hjoerring,FALSE,3,2024-09-09,FALSE,-10,3.1325042504256806
Jammerbugt,TRUE,3,2024-09-09,FALSE,-10,3.3740198097296235
Laesoe,FALSE,3,2024-09-09,FALSE,-10,3.3371793177700013
Mariagerfjord,FALSE,3,2024-09-09,FALSE,-10,2.975298603147259
Morsoe,TRUE,3,2024-09-09,FALSE,-10,3.2249521308519262
Rebild,TRUE,3,2024-09-09,FALSE,-10,3.0128531557228944
Thisted,FALSE,3,2024-09-09,FALSE,-10,3.134001636465064
Vesthimmerland,TRUE,3,2024-09-09,FALSE,-10,2.7844431240811245
Aalborg,TRUE,3,2024-09-09,FALSE,-10,3.1110244260340494
Albertslund,FALSE,4,2024-09-16,FALSE,-9,3.088979741226327
Alleroed,FALSE,4,2024-09-16,FALSE,-9,3.0027954778989154
Ballerup,FALSE,4,2024-09-16,FALSE,-9,2.604470960531691
Bornholm,FALSE,4,2024-09-16,FALSE,-9,2.894293172565493
Broendby,TRUE,4,2024-09-16,FALSE,-9,2.7835789639389574
Dragoer,TRUE,4,2024-09-16,FALSE,-9,2.7752407320433705
Egedal,FALSE,4,2024-09-16,FALSE,-9,3.1402140532691893
Fredensborg,FALSE,4,2024-09-16,FALSE,-9,2.9451721647640077
Frederiksberg,FALSE,4,2024-09-16,FALSE,-9,2.7593416061650218
Frederikssund,TRUE,4,2024-09-16,FALSE,-9,2.831510049186203
Furesoe,FALSE,4,2024-09-16,FALSE,-9,2.978395767562794
Gentofte,TRUE,4,2024-09-16,FALSE,-9,2.8173462238019957
Gladsaxe,FALSE,4,2024-09-16,FALSE,-9,2.8795969184694625
Glostrup,TRUE,4,2024-09-16,FALSE,-9,2.8349166176748795
Gribskov,TRUE,4,2024-09-16,FALSE,-9,2.9334035868529003
Halsnaes,FALSE,4,2024-09-16,FALSE,-9,2.993700021397931
Helsingoer,TRUE,4,2024-09-16,FALSE,-9,3.21033735978879
Herlev,FALSE,4,2024-09-16,FALSE,-9,2.7439094210097275
Hilleroed,FALSE,4,2024-09-16,FALSE,-9,3.3650879800053577
Hvidovre,FALSE,4,2024-09-16,FALSE,-9,3.191985652194065
Hoeje-Taastrup,FALSE,4,2024-09-16,FALSE,-9,2.955105038324186
Hoersholm,FALSE,4,2024-09-16,FALSE,-9,3.0356130108470647
Ishoej,FALSE,4,2024-09-16,FALSE,-9,2.7534507420652026
Koebenhavn,TRUE,4,2024-09-16,FALSE,-9,2.845125625612794
Lyngby-Taarbaek,TRUE,4,2024-09-16,FALSE,-9,2.8744642373735547
Rudersdal,TRUE,4,2024-09-16,FALSE,-9,2.631004178784663
Roedovre,TRUE,4,2024-09-16,FALSE,-9,2.9582305523647374
Taarnby,TRUE,4,2024-09-16,FALSE,-9,3.176107807733627
Vallensbaek,FALSE,4,2024-09-16,FALSE,-9,3.1708627381909578
Faxe,FALSE,4,2024-09-16,FALSE,-9,2.966328912134035
Greve,TRUE,4,2024-09-16,FALSE,-9,3.032500364038782
Guldborgsund,TRUE,4,2024-09-16,FALSE,-9,3.198417052933139
Holbaek,TRUE,4,2024-09-16,FALSE,-9,3.2775258859091
Kalundborg,TRUE,4,2024-09-16,FALSE,-9,2.805228108480174
Koege,TRUE,4,2024-09-16,FALSE,-9,3.007885503967366
Lejre,FALSE,4,2024-09-16,FALSE,-9,3.143098965062141
Lolland,TRUE,4,2024-09-16,FALSE,-9,2.9688039657515235
Naestved,TRUE,4,2024-09-16,FALSE,-9,2.8748595955103613
Odsherred,FALSE,4,2024-09-16,FALSE,-9,2.9387983610117177
Ringsted,FALSE,4,2024-09-16,FALSE,-9,2.8061365845169353
Roskilde,TRUE,4,2024-09-16,FALSE,-9,2.84550978035012
Slagelse,TRUE,4,2024-09-16,FALSE,-9,2.8451377092447423
Solroed,TRUE,4,2024-09-16,FALSE,-9,2.9606278990857624
Soroe,FALSE,4,2024-09-16,FALSE,-9,3.1679245445385207
Stevns,TRUE,4,2024-09-16,FALSE,-9,3.3615064208119185
Vordingborg,FALSE,4,2024-09-16,FALSE,-9,2.904828462377212
Assens,FALSE,4,2024-09-16,FALSE,-9,2.8660031811089377
Billund,FALSE,4,2024-09-16,FALSE,-9,2.8971137268728997
Esbjerg,FALSE,4,2024-09-16,FALSE,-9,3.2486195026739484
Fanoe,FALSE,4,2024-09-16,FALSE,-9,2.881566364616874
Fredericia,FALSE,4,2024-09-16,FALSE,-9,2.56798018831979
Faaborg-Midtfyn,FALSE,4,2024-09-16,FALSE,-9,3.032663872125515
Haderslev,FALSE,4,2024-09-16,FALSE,-9,2.699371574444642
Kerteminde,TRUE,4,2024-09-16,FALSE,-9,2.7536135424600476
Kolding,FALSE,4,2024-09-16,FALSE,-9,3.2651657657189044
Langeland,TRUE,4,2024-09-16,FALSE,-9,3.1223493716706536
Middelfart,TRUE,4,2024-09-16,FALSE,-9,2.9392496742089707
Nordfyns,TRUE,4,2024-09-16,FALSE,-9,2.626862729795403
Nyborg,FALSE,4,2024-09-16,FALSE,-9,2.853671887082477
Odense,TRUE,4,2024-09-16,FALSE,-9,2.7135886294008893
Svendborg,TRUE,4,2024-09-16,FALSE,-9,3.1088567478440203
Soenderborg,TRUE,4,2024-09-16,FALSE,-9,2.8594477519989328
Toender,TRUE,4,2024-09-16,FALSE,-9,2.629732598158928
Varde,TRUE,4,2024-09-16,FALSE,-9,2.9458806869209857
Vejen,TRUE,4,2024-09-16,FALSE,-9,3.139469618129433
Vejle,TRUE,4,2024-09-16,FALSE,-9,2.855159362632338
Aeroe,TRUE,4,2024-09-16,FALSE,-9,2.897233650654208
Aabenraa,TRUE,4,2024-09-16,FALSE,-9,2.9836570931781163
Favrskov,FALSE,4,2024-09-16,FALSE,-9,2.899192480354498
Hedensted,TRUE,4,2024-09-16,FALSE,-9,3.171405527746055
Herning,FALSE,4,2024-09-16,FALSE,-9,3.0124929751725853
Holstebro,TRUE,4,2024-09-16,FALSE,-9,2.734033412043892
Horsens,FALSE,4,2024-09-16,FALSE,-9,2.793006736402723
Ikast-Brande,FALSE,4,2024-09-16,FALSE,-9,2.974461326925842
Lemvig,TRUE,4,2024-09-16,FALSE,-9,3.0263468299857954
Norddjurs,FALSE,4,2024-09-16,FALSE,-9,2.9083463103591196
Odder,FALSE,4,2024-09-16,FALSE,-9,2.8081705391467504
Randers,FALSE,4,2024-09-16,FALSE,-9,2.8365637446372007
Ringkoebing-Skjern,FALSE,4,2024-09-16,FALSE,-9,2.7224415543561427
Samsoe,FALSE,4,2024-09-16,FALSE,-9,3.1285302692668453
Silkeborg,TRUE,4,2024-09-16,FALSE,-9,2.958351608705407
Skanderborg,FALSE,4,2024-09-16,FALSE,-9,2.9877009151004486
Skive,FALSE,4,2024-09-16,FALSE,-9,2.5491808712236272
Struer,TRUE,4,2024-09-16,FALSE,-9,2.7187632265687434
