uge;oplag;distributionsomkostning_dkk;trykomkostning_dkk
25.12.2023;395792;131212,26;37978,51
07.03.2022;640413;176674,65;23444,36
26.06.2023;693892;229217,55;30951,13
24.03.2025;469064;178099,25;38037,51
29.05.2023;629176;253152,51;47400,71
22.08.2022;469761;172271,71;40410,63
05.06.2023;870376;276525,00;37770,50
15.12.2025;728800;254164,71;74279,54
02.01.2023;477964;192459,69;33625,37
11.12.2023;839400;276203,14;45359,01
