report_date;line_item;spend_dkk;impressions;clicks;viewable_rate;attributed_revenue;currency
14/02/2025;hh_dk_Prog_Display_Alm_202502;1735.79;175003;1427;0.638;2025.13;EUR
28/10/2022;Havehjornet_Prog_Display_Alm_202210;6197.46;132347;408;0.61;8979.95;DKK
08/10/2024;HAVEHJ_Prog_Display_Alm_202410;19565.75;367909;1994;0.709;25004.06;DKK
19/06/2025;hh_dk_Prog_Video_Havesaeson_202506;25488.89;437137;1375;0.812;58671.98;DKK
14/01/2023;hh_dk_Prog_Display_Alm_202301;851.10;153913;524;0.701;1113.22;EUR
25/07/2022;hh_dk_Prog_Video_Alm_202207;6011.36;103497;595;0.714;7486.64;DKK
16/01/2025;HH_Prog_Display_Alm_202501;1363.76;116076;567;0.854;1445.72;EUR
23/08/2022;hh_dk_Prog_Display_Alm_202208;1443.79;227153;831;0.783;1552.68;EUR
21/02/2023;hh_dk_Prog_Display_Alm_202302;9825.61;261143;536;0.728;8038.01;DKK
25/01/2024;HAVEHJ_Prog_Display_Alm_202401_kopi;8031.27;109502;419;0.851;6129.18;DKK
04/05/2024;hh_dk_Prog_Display_Havesaeson_202405;10770.47;138785;766;0.782;14201.91;DKK
06/01/2023;HAVEHJ_Prog_Display_Alm_202301;1440.34;223322;542;0.602;1564.19;EUR
04/10/2025;HAVEHJ_Prog_Video_Alm_202510;18438.11;250576;1406;0.822;33638.29;DKK
04/06/2022;hh_dk_Prog_Display_Havesaeson_202206;7178.23;103334;481;0.625;7483.08;DKK
24/05/2024;HAVEHJ_Prog_Video_Havesaeson_202405;44686.18;586856;2737;0.76;94104.74;DKK
21/07/2023;Havehjornet_Prog_Display_Alm_202307;11837.28;265163;1019;0.752;17040.31;DKK
04/06/2023;HAVEHJ_Prog_Display_Havesaeson_202306;10172.52;137918;697;0.857;14000.93;DKK
13/04/2025;HH_Prog_Video_Havesaeson_202504;6774.83;171462;397;0.62;19564.05;DKK
01/08/2025;Havehjornet_Prog_Video_Alm_202508;1129.36;128695;738;0.793;2362.93;EUR
02/06/2022;HH_Prog_Video_Havesaeson_202206;34672.91;407311;1951;0.589;68778.00;DKK
11/10/2023;Havehjornet_Prog_Display_Alm_202310;15950.05;311544;911;0.73;21213.94;DKK
14/10/2024;hh_dk_Prog_Display_Alm_202410;7106.12;164877;534;0.753;9417.74;DKK
22/05/2023;Havehjornet_Prog_Display_Havesaeson_202305;8525.86;198656;539;0.767;11751.92;DKK
14/09/2024;HH_Prog_Video_Alm_202409;14002.81;246133;882;0.829;28737.64;DKK
14/08/2022;hh_dk_Prog_Video_Alm_202208_kopi;4571.09;53037;398;0.568;10891.91;DKK
08/12/2024;HAVEHJ_Prog_Video_Jul_202412;3148.00;272953;2093;0.846;6299.95;EUR
15/11/2025;HH_Prog_Video_BlackFriday_202511;34406.81;875023;1906;0.67;73853.68;DKK
02/04/2022;Havehjornet_Prog_Display_Havesaeson_202204;5800.99;88188;340;0.877;5422.71;DKK
17/11/2022;Havehjornet_Prog_Display_BlackFriday_202211;5239.74;168237;277;0.603;7923.07;DKK
06/12/2024;HAVEHJ_Prog_Video_Jul_202412;24735.40;324049;1409;0.714;31119.13;DKK
30/01/2025;Havehjornet_Prog_Display_Alm_202501;13056.35;243710;1040;0.736;16546.92;DKK
01/09/2025;HAVEHJ_Prog_Display_Alm_202509;15151.69;263258;1039;0.578;11167.09;DKK
28/11/2022;hh_dk_Prog_Display_BlackFriday_202211;15069.59;231285;770;0.742;18779.14;DKK
01/11/2025;hh_dk_Prog_Video_BlackFriday_202511;17385.66;343734;1074;0.687;31268.76;DKK
31/08/2024;Havehjornet_Prog_Display_Alm_202408;12220.13;275776;1286;0.729;11449.80;DKK
06/04/2025;Havehjornet_Prog_Video_Havesaeson_202504;8240.43;215258;819;0.721;12275.06;DKK
25/02/2025;HAVEHJ_Prog_Video_Alm_202502;8298.33;120506;494;0.742;16622.12;DKK
04/04/2025;Havehjornet_Prog_Display_Havesaeson_202504;22499.93;481215;2116;0.721;28515.58;DKK
04/03/2022;HAVEHJ_Prog_Display_Alm_202203;15331.92;207290;1549;0.811;16905.84;DKK
07/12/2025;HAVEHJ_Prog_Video_Jul_202512;43639.31;581744;3553;0.619;67798.48;DKK
12/06/2024;Havehjornet_Prog_Display_Havesaeson_202406;11567.39;293548;612;0.895;12707.10;DKK
26/05/2025;HH_Prog_Display_Havesaeson_202505;16140.65;448375;1531;0.733;23583.37;DKK
05/08/2023;Havehjornet_Prog_Video_Alm_202308;1289.69;168796;668;0.692;2189.07;EUR
13/03/2023;hh_dk_Prog_Video_Alm_202303;12085.64;187503;633;0.706;14520.82;DKK
04/09/2022;Havehjornet_Prog_Video_Alm_202209;39824.76;986996;3600;0.77;48969.00;DKK
25/04/2024;Havehjornet_Prog_Display_Havesaeson_202404;6769.48;198408;415;0.629;6723.83;DKK
04/08/2025;HH_Prog_Video_Alm_202508;2115.59;290251;917;0.75;3399.11;EUR
12/08/2024;hh_dk_Prog_Video_Alm_202408;2404.31;239458;933;0.632;3454.83;EUR
09/11/2022;HAVEHJ_Prog_Display_BlackFriday_202211;18801.56;376114;1101;0.844;26389.58;DKK
04/11/2025;HAVEHJ_Prog_Display_BlackFriday_202511;12729.61;143187;832;0.698;13790.76;DKK
24/03/2023;Havehjornet_Prog_Display_Alm_202303;10583.66;133073;716;0.772;9603.33;DKK
15/09/2022;HAVEHJ_Prog_Video_Alm_202209;21151.29;266387;1974;0.695;50672.52;DKK
26/12/2025;HH_Prog_Display_Jul_202512;17495.60;256368;1041;0.657;15940.67;DKK
12/03/2022;Havehjornet_Prog_Video_Alm_202203;11228.58;318188;1332;0.74;18179.92;DKK
18/08/2023;HH_Prog_Video_Alm_202308;15966.35;191388;1582;0.577;21210.22;DKK
15/08/2022;HH_Prog_Display_Alm_202208_kopi;15786.93;224163;1681;0.699;14214.31;DKK
03/01/2022;Havehjornet_Prog_Display_Alm_202201;19598.77;357526;1204;0.637;25917.17;DKK
04/02/2024;hh_dk_Prog_Display_Alm_202402;6743.47;150950;489;0.657;9384.51;DKK
14/03/2022;Havehjornet_Prog_Video_Alm_202203;2191.18;263878;922;0.698;5608.45;EUR
16/12/2024;HAVEHJ_Prog_Video_Jul_202412;21080.19;577191;1321;0.791;38532.16;DKK
12/07/2025;HH_Prog_Video_Alm_202507;11226.53;191036;1027;0.728;16050.75;DKK
16/08/2024;HH_Prog_Video_Alm_202408;10355.74;136187;1055;0.696;42473.04;DKK
05/06/2022;HH_Prog_Video_Havesaeson_202206;62959.59;740181;4141;0.551;99521.42;DKK
13/08/2024;Havehjornet_Prog_Video_Alm_202408;14601.86;294782;1366;0.668;22007.99;DKK
11/07/2023;hh_dk_Prog_Display_Alm_202307;12498.81;146421;875;0.803;15555.42;DKK
23/06/2022;Havehjornet_Prog_Display_Havesaeson_202206;14594.07;274731;749;0.67;16334.07;DKK
19/01/2022;hh_dk_Prog_Video_Alm_202201;12492.04;359726;1337;0.874;27184.02;DKK
12/12/2022;hh_dk_Prog_Video_Jul_202212;33533.09;597053;3345;0.746;48660.54;DKK
10/07/2023;HAVEHJ_Prog_Video_Alm_202307;19599.56;514510;1162;0.703;43082.79;DKK
07/01/2025;Havehjornet_Prog_Display_Alm_202501;1405.82;129976;595;0.556;1664.00;EUR
16/05/2022;HAVEHJ_Prog_Video_Havesaeson_202205;17125.94;202515;1383;0.682;31941.13;DKK
17/07/2023;HAVEHJ_Prog_Video_Alm_202307;11742.93;135684;1379;0.802;26554.12;DKK
26/08/2023;hh_dk_Prog_Display_Alm_202308;14244.59;423441;996;0.723;13444.22;DKK
26/04/2023;HH_Prog_Video_Havesaeson_202304;12127.54;135546;619;0.738;22125.30;DKK
30/05/2023;HAVEHJ_Prog_Display_Havesaeson_202305_kopi;14742.50;261259;1139;0.578;12782.01;DKK
18/11/2023;hh_dk_Prog_Display_BlackFriday_202311;1225.09;130006;471;0.804;1876.86;EUR
07/08/2024;Havehjornet_Prog_Display_Alm_202408_kopi;8453.58;104488;431;0.665;9105.48;DKK
21/09/2024;HAVEHJ_Prog_Video_Alm_202409;51269.10;973072;5303;0.822;91436.56;DKK
25/08/2023;Havehjornet_Prog_Display_Alm_202308;18188.70;390898;1441;0.627;19440.57;DKK
28/07/2024;hh_dk_Prog_Display_Alm_202407;8188.11;140134;575;0.7;10249.53;DKK
25/04/2025;Havehjornet_Prog_Display_Havesaeson_202504;8896.44;100505;611;0.662;11756.55;DKK
18/08/2022;HH_Prog_Video_Alm_202208;11935.99;234564;788;0.846;32994.21;DKK
12/05/2024;Havehjornet_Prog_Video_Havesaeson_202405;31518.22;456501;3103;0.804;51782.82;DKK
29/10/2022;HH_Prog_Video_Alm_202210;15395.37;211326;1322;0.882;34930.01;DKK
22/10/2023;HAVEHJ_Prog_Video_Alm_202310;15454.80;208894;891;0.673;32634.17;DKK
09/04/2024;hh_dk_Prog_Display_Havesaeson_202404;5585.66;79023;326;0.65;5257.60;DKK
20/03/2025;HAVEHJ_Prog_Display_Alm_202503;12801.12;158000;801;0.719;16835.14;DKK
15/05/2023;HH_Prog_Video_Havesaeson_202305;20691.86;251350;1063;0.621;48176.50;DKK
07/07/2022;HH_Prog_Display_Alm_202207;10578.26;281703;999;0.772;13425.27;DKK
22/12/2024;hh_dk_Prog_Video_Jul_202412;16458.74;263056;842;0.697;28767.84;DKK
18/05/2025;hh_dk_Prog_Video_Havesaeson_202505;35188.34;461078;2033;0.567;53135.56;DKK
20/11/2025;HH_Prog_Video_BlackFriday_202511;7418.52;132397;495;0.657;13359.53;DKK
17/01/2024;Havehjornet_Prog_Display_Alm_202401;12776.61;148263;921;0.777;13108.82;DKK
05/02/2024;hh_dk_Prog_Video_Alm_202402;45217.34;1296135;2305;0.883;98847.05;DKK
13/09/2023;HAVEHJ_Prog_Display_Alm_202309;22913.10;328875;2691;0.693;25661.65;DKK
03/06/2025;hh_dk_Prog_Display_Havesaeson_202506;6147.70;167253;343;0.615;5560.15;DKK
26/02/2024;hh_dk_Prog_Display_Alm_202402_kopi;9598.32;157773;506;0.739;9666.31;DKK
05/03/2024;HH_Prog_Video_Alm_202403;4884.39;747181;2511;0.893;8506.14;EUR
29/03/2023;HH_Prog_Video_Alm_202303;14117.16;218621;1233;0.553;27500.64;DKK
12/06/2025;HH_Prog_Display_Havesaeson_202506;9314.11;122528;524;0.63;10749.65;DKK
13/06/2023;HH_Prog_Display_Havesaeson_202306;6701.36;81462;752;0.616;11073.21;DKK
10/07/2022;HAVEHJ_Prog_Video_Alm_202207;7161.08;89731;503;0.761;11773.10;DKK
19/09/2025;HH_Prog_Video_Alm_202509;13892.61;184918;958;0.586;24049.00;DKK
21/12/2024;Havehjornet_Prog_Display_Jul_202412;779.39;74687;383;0.831;831.04;EUR
24/02/2023;Havehjornet_Prog_Display_Alm_202302;14349.40;363047;1017;0.887;13391.25;DKK
23/01/2023;HAVEHJ_Prog_Video_Alm_202301_kopi;12407.40;332908;699;0.555;24951.05;DKK
27/02/2022;Havehjornet_Prog_Video_Alm_202202;24676.84;363889;2147;0.834;56783.40;DKK
27/02/2024;HH_Prog_Video_Alm_202402;20190.17;359764;1829;0.841;42109.12;DKK
07/06/2023;HAVEHJ_Prog_Display_Havesaeson_202306;13653.76;169084;1335;0.735;14595.32;DKK
20/03/2024;HH_Prog_Display_Alm_202403;6681.04;81940;546;0.864;8853.51;DKK
07/03/2023;HAVEHJ_Prog_Display_Alm_202303_kopi;5950.19;69368;550;0.81;6344.30;DKK
05/06/2025;HAVEHJ_Prog_Video_Havesaeson_202506;32768.62;425544;2643;0.863;53242.32;DKK
07/10/2025;HH_Prog_Display_Alm_202510;17628.75;345316;1942;0.794;15665.59;DKK
04/05/2025;HAVEHJ_Prog_Display_Havesaeson_202505;10972.14;204607;1147;0.587;13087.18;DKK
03/04/2023;Havehjornet_Prog_Video_Havesaeson_202304_kopi;23187.21;376699;1457;0.858;43191.21;DKK
08/08/2022;HAVEHJ_Prog_Display_Alm_202208;17010.17;240798;1375;0.851;28486.27;DKK
10/04/2025;HH_Prog_Video_Havesaeson_202504;22189.21;264942;1396;0.586;29866.19;DKK
24/08/2022;HAVEHJ_Prog_Video_Alm_202208;29747.96;869729;1720;0.635;61610.97;DKK
02/09/2023;HH_Prog_Video_Alm_202309;8200.34;91267;430;0.711;16928.29;DKK
13/06/2023;HH_Prog_Video_Havesaeson_202306;23210.89;537724;1188;0.688;52253.47;DKK
23/02/2023;HAVEHJ_Prog_Video_Alm_202302;1785.54;245779;1088;0.616;3348.04;EUR
02/03/2025;HAVEHJ_Prog_Display_Alm_202503;5409.47;113498;300;0.608;5037.71;DKK
29/05/2024;hh_dk_Prog_Video_Havesaeson_202405;53252.88;1132034;2770;0.644;137210.12;DKK
04/02/2024;Havehjornet_Prog_Video_Alm_202402;1693.04;230903;672;0.774;3315.77;EUR
23/03/2024;hh_dk_Prog_Display_Alm_202403;3681.10;458928;1421;0.584;2659.27;EUR
12/03/2024;hh_dk_Prog_Display_Alm_202403;3450.29;38617;288;0.642;4279.56;DKK
12/10/2022;HH_Prog_Display_Alm_202210;8542.25;123571;711;0.813;14887.67;DKK
02/04/2025;HAVEHJ_Prog_Video_Havesaeson_202504;26913.81;313413;3182;0.748;58318.25;DKK
15/11/2022;HH_Prog_Display_BlackFriday_202211;16545.10;208860;1298;0.598;19301.95;DKK
01/01/2025;Havehjornet_Prog_Video_Alm_202501_kopi;17090.00;218607;1482;0.858;48977.63;DKK
24/08/2024;hh_dk_Prog_Video_Alm_202408_kopi;2509.02;351575;959;0.596;3411.68;EUR
14/02/2025;Havehjornet_Prog_Video_Alm_202502;15628.66;251792;903;0.62;37880.58;DKK
28/08/2025;HAVEHJ_Prog_Display_Alm_202508;11187.95;163439;906;0.74;8074.13;DKK
09/03/2025;Havehjornet_Prog_Display_Alm_202503;18129.35;259601;2207;0.621;23358.90;DKK
11/06/2023;Havehjornet_Prog_Video_Havesaeson_202306_kopi;24259.33;446820;1379;0.663;35201.50;DKK
05/12/2023;hh_dk_Prog_Video_Jul_202312;23865.47;370370;1516;0.817;46903.75;DKK
01/02/2023;Havehjornet_Prog_Video_Alm_202302_kopi;12304.41;160199;894;0.786;20299.24;DKK
21/05/2023;HAVEHJ_Prog_Video_Havesaeson_202305;5770.43;813786;4251;0.655;12233.63;EUR
12/11/2025;HH_Prog_Display_BlackFriday_202511;20229.08;240588;1083;0.855;27849.03;DKK
31/07/2025;HH_Prog_Display_Alm_202507;31380.73;402749;3136;0.852;33509.21;DKK
21/05/2022;Havehjornet_Prog_Display_Havesaeson_202205;8430.85;125050;499;0.699;7187.38;DKK
19/09/2022;HH_Prog_Video_Alm_202209_kopi;26357.81;518989;2909;0.83;38450.95;DKK
08/04/2022;hh_dk_Prog_Display_Havesaeson_202204;5446.69;66468;586;0.694;3821.85;DKK
08/10/2025;HAVEHJ_Prog_Video_Alm_202510;3569.82;310425;2179;0.843;5505.38;EUR
10/03/2025;hh_dk_Prog_Display_Alm_202503;16460.39;410739;1602;0.819;16639.55;DKK
15/05/2022;HAVEHJ_Prog_Video_Havesaeson_202205;10940.44;140233;871;0.775;25995.83;DKK
09/09/2025;HAVEHJ_Prog_Display_Alm_202509;5648.57;139743;701;0.571;6905.15;DKK
11/01/2024;hh_dk_Prog_Video_Alm_202401;18364.83;503843;1261;0.884;47516.92;DKK
19/06/2025;hh_dk_Prog_Display_Havesaeson_202506;33198.17;453217;2222;0.627;61985.86;DKK
25/09/2025;HH_Prog_Display_Alm_202509;12330.54;261970;708;0.864;10691.58;DKK
15/12/2024;Havehjornet_Prog_Video_Jul_202412;11965.04;303953;923;0.879;24046.09;DKK
13/06/2024;HH_Prog_Display_Havesaeson_202406;10058.63;283453;1255;0.893;11247.96;DKK
21/02/2022;HAVEHJ_Prog_Video_Alm_202202;27027.55;617145;1552;0.734;44440.59;DKK
13/09/2022;hh_dk_Prog_Video_Alm_202209;28355.41;384855;2009;0.815;51406.54;DKK
16/06/2023;HH_Prog_Display_Havesaeson_202306_kopi;1662.20;406930;1374;0.751;1499.39;EUR
25/11/2023;HAVEHJ_Prog_Display_BlackFriday_202311;11239.99;164963;782;0.588;14787.88;DKK
29/01/2024;HAVEHJ_Prog_Display_Alm_202401;10749.07;186231;804;0.748;18063.68;DKK
24/02/2022;HH_Prog_Display_Alm_202202;10975.26;127909;566;0.642;10389.03;DKK
02/04/2024;HAVEHJ_Prog_Display_Havesaeson_202404;1697.14;393794;1303;0.758;2645.84;EUR
03/05/2023;HAVEHJ_Prog_Video_Havesaeson_202305;25181.03;701299;2437;0.776;44252.58;DKK
30/08/2025;Havehjornet_Prog_Video_Alm_202508;3533.70;665405;1932;0.818;8198.43;EUR
28/04/2023;hh_dk_Prog_Video_Havesaeson_202304;37123.89;798782;2696;0.647;77853.62;DKK
11/01/2023;HAVEHJ_Prog_Display_Alm_202301;27175.66;745706;2706;0.622;24781.62;DKK
13/01/2025;Havehjornet_Prog_Video_Alm_202501;1244.31;210406;1036;0.71;1666.44;EUR
17/02/2023;Havehjornet_Prog_Display_Alm_202302;2368.90;374836;897;0.632;2157.97;EUR
09/02/2024;HH_Prog_Video_Alm_202402;4447.54;78394;360;0.898;15922.69;DKK
25/03/2022;hh_dk_Prog_Display_Alm_202203;7181.67;158363;423;0.854;8029.59;DKK
04/01/2026;HH_Prog_Video_Alm_202601;43175.40;1412006;3306;0.788;64244.61;DKK
01/04/2022;hh_dk_Prog_Display_Havesaeson_202204;21817.32;304690;1437;0.717;25707.99;DKK
17/12/2025;hh_dk_Prog_Display_Jul_202512;18036.50;430180;2089;0.722;18238.48;DKK
27/11/2024;HAVEHJ_Prog_Video_BlackFriday_202411;23788.10;332094;1232;0.888;53068.20;DKK
13/07/2022;HAVEHJ_Prog_Video_Alm_202207;3224.31;47982;209;0.586;4694.63;DKK
14/12/2022;hh_dk_Prog_Video_Jul_202212;3694.60;331296;2134;0.646;8934.45;EUR
21/01/2022;HH_Prog_Display_Alm_202201;5140.65;63034;419;0.748;5621.91;DKK
22/12/2022;Havehjornet_Prog_Video_Jul_202212;41018.38;639854;2811;0.784;73039.61;DKK
30/06/2023;HH_Prog_Video_Havesaeson_202306_kopi;9888.70;194777;679;0.852;17556.44;DKK
29/02/2024;Havehjornet_Prog_Display_Alm_202402;27013.60;749876;1757;0.6;29388.86;DKK
13/08/2024;HAVEHJ_Prog_Display_Alm_202408;11437.55;145001;587;0.683;10660.35;DKK
26/02/2023;HAVEHJ_Prog_Video_Alm_202302;4671.02;529984;1955;0.894;6867.12;EUR
27/11/2022;HH_Prog_Video_BlackFriday_202211;63734.37;872910;6898;0.801;148171.59;DKK
30/08/2024;Havehjornet_Prog_Video_Alm_202408;30993.70;351172;3060;0.846;59182.51;DKK
04/02/2025;Havehjornet_Prog_Display_Alm_202502;5774.95;104202;348;0.727;7049.65;DKK
20/04/2022;HH_Prog_Video_Havesaeson_202204;12020.95;146306;1175;0.872;25314.82;DKK
26/08/2024;HAVEHJ_Prog_Video_Alm_202408_kopi;16047.96;381955;1827;0.57;28788.96;DKK
18/11/2024;HH_Prog_Display_BlackFriday_202411;7555.00;181211;420;0.674;13073.70;DKK
29/10/2025;HH_Prog_Video_Alm_202510;49264.23;774558;2705;0.616;172995.97;DKK
27/03/2025;hh_dk_Prog_Display_Alm_202503;12364.61;293325;1375;0.815;15811.37;DKK
29/05/2025;HH_Prog_Video_Havesaeson_202505;42604.15;537147;2338;0.685;85024.08;DKK
18/09/2025;hh_dk_Prog_Display_Alm_202509;13874.38;185217;1351;0.709;19523.51;DKK
22/04/2022;HH_Prog_Display_Havesaeson_202204;7038.80;88292;544;0.707;6369.65;DKK
30/10/2022;HH_Prog_Display_Alm_202210;12134.71;255388;680;0.698;18038.51;DKK
23/09/2024;HH_Prog_Display_Alm_202409;10012.58;140564;718;0.631;11515.45;DKK
03/06/2023;HAVEHJ_Prog_Video_Havesaeson_202306;21234.30;265170;1159;0.718;39364.90;DKK
29/09/2024;hh_dk_Prog_Display_Alm_202409;14179.35;210801;1488;0.684;20850.60;DKK
13/11/2022;HAVEHJ_Prog_Video_BlackFriday_202211;29601.45;673672;1907;0.566;51266.57;DKK
25/06/2022;Havehjornet_Prog_Display_Havesaeson_202206;13381.90;283850;1231;0.756;15188.77;DKK
10/07/2022;hh_dk_Prog_Display_Alm_202207;11825.54;297507;964;0.601;14847.87;DKK
12/01/2025;HH_Prog_Display_Alm_202501;19660.23;241134;1469;0.846;28687.68;DKK
25/12/2022;Havehjornet_Prog_Video_Jul_202212;38989.76;471490;2220;0.659;106174.63;DKK
28/10/2023;Havehjornet_Prog_Video_Alm_202310;2576.63;215218;2010;0.873;3787.12;EUR
23/02/2025;Havehjornet_Prog_Display_Alm_202502;6925.89;82160;408;0.754;7512.08;DKK
02/04/2023;HH_Prog_Display_Havesaeson_202304;7318.66;128788;695;0.883;9492.27;DKK
12/09/2022;Havehjornet_Prog_Video_Alm_202209;32591.02;398149;3048;0.636;66203.13;DKK
14/04/2024;HH_Prog_Video_Havesaeson_202404;40449.49;1017674;2807;0.863;73401.68;DKK
27/08/2023;HAVEHJ_Prog_Display_Alm_202308;20812.08;671321;1075;0.825;26838.55;DKK
07/02/2025;HAVEHJ_Prog_Video_Alm_202502;2547.53;287279;1478;0.802;4732.25;EUR
13/02/2023;HH_Prog_Video_Alm_202302;35290.27;489922;3567;0.593;71279.35;DKK
12/11/2022;Havehjornet_Prog_Video_BlackFriday_202211;15700.82;230748;1750;0.813;48362.94;DKK
13/10/2024;HH_Prog_Display_Alm_202410_kopi;17640.92;383311;978;0.719;20240.21;DKK
07/03/2025;Havehjornet_Prog_Video_Alm_202503;28563.60;325476;1935;0.649;65781.08;DKK
29/11/2025;HAVEHJ_Prog_Display_BlackFriday_202511;1148.78;278003;754;0.595;1156.24;EUR
05/01/2022;HAVEHJ_Prog_Video_Alm_202201;6684.57;215338;514;0.669;15147.45;DKK
14/09/2023;HAVEHJ_Prog_Display_Alm_202309;15941.75;382849;874;0.829;15563.95;DKK
26/11/2024;Havehjornet_Prog_Video_BlackFriday_202411;60736.13;968923;3134;0.83;171013.57;DKK
29/07/2024;hh_dk_Prog_Display_Alm_202407;827.90;87248;490;0.639;782.98;EUR
04/08/2022;hh_dk_Prog_Video_Alm_202208;8883.50;267739;544;0.805;10993.07;DKK
20/05/2022;Havehjornet_Prog_Video_Havesaeson_202205;7233.04;100476;437;0.592;22749.85;DKK
04/09/2023;hh_dk_Prog_Video_Alm_202309;1906.13;173691;1318;0.624;3563.67;EUR
23/01/2024;HAVEHJ_Prog_Display_Alm_202401_kopi;32078.31;495527;2006;0.654;33481.86;DKK
13/12/2024;hh_dk_Prog_Display_Jul_202412;11771.96;275801;727;0.556;16456.76;DKK
10/09/2025;hh_dk_Prog_Video_Alm_202509;33034.88;494348;2197;0.866;48313.35;DKK
05/07/2022;Havehjornet_Prog_Video_Alm_202207;26944.77;308867;2449;0.894;55956.13;DKK
03/10/2022;HH_Prog_Video_Alm_202210;14667.33;282900;1118;0.602;26138.68;DKK
15/07/2024;HH_Prog_Display_Alm_202407;15330.69;354179;999;0.582;23075.38;DKK
02/05/2023;HAVEHJ_Prog_Video_Havesaeson_202305;25094.62;283409;2274;0.652;54492.57;DKK
18/12/2023;HAVEHJ_Prog_Video_Jul_202312;41304.48;738982;2461;0.794;82366.24;DKK
19/01/2023;Havehjornet_Prog_Display_Alm_202301;24809.67;762228;1409;0.614;38194.54;DKK
09/06/2022;HH_Prog_Video_Havesaeson_202206;5148.63;702193;2183;0.691;7144.04;EUR
20/10/2022;HH_Prog_Video_Alm_202210;12317.11;137194;730;0.698;20126.98;DKK
27/03/2025;hh_dk_Prog_Video_Alm_202503;19291.21;573016;1299;0.656;29752.54;DKK
