uge_start;station;spot_type;grp;pris_dkk;currency
2024-04-08;TV2;30 sek;58,40;247564,53;DKK
2024-07-08;TV2;15 sek;4,20;17491,69;DKK
2024-10-07;DK4;15 sek;24,50;116430,26;DKK
2025-01-27;DK4;20 sek;64,70;281394,78;DKK
2022-03-14;DK4;30 sek;26,70;116739,29;DKK
2024-11-04;DR1;20 sek;76,90;279089,13;DKK
2022-04-11;TV3;15 sek;73,30;279589,55;DKK
2025-03-31;DR1;20 sek;64,10;282079,79;DKK
2024-04-22;DR1;30 sek;139,80;598399,31;DKK
2025-05-12;Kanal5;30 sek;45,30;216373,78;DKK
2024-08-26;TV3;15 sek;64,70;296687,48;DKK
2025-07-28;Kanal5;30 sek;20,60;86108,18;DKK
2022-06-27;Kanal5;15 sek;10,60;49824,24;DKK
2024-12-09;TV2;15 sek;64,50;276419,45;DKK
2025-06-16;DR1;15 sek;16,20;69298,43;DKK
2023-01-16;DK4;20 sek;14,10;62707,13;DKK
2024-04-08;TV3;15 sek;87,50;366458,46;DKK
2022-07-04;Kanal5;30 sek;7,60;32224,94;DKK
2024-01-08;DK4;15 sek;28,60;112984,52;DKK
2022-04-25;DK4;15 sek;32,40;129539,93;DKK
2024-07-29;DK4;15 sek;28,80;125273,14;DKK
2022-08-15;DK4;15 sek;36,40;148864,97;DKK
2025-08-11;Kanal5;20 sek;76,90;336866,59;DKK
2025-01-27;DR1;20 sek;66,60;265645,24;DKK
2023-06-12;DK4;15 sek;26,50;103532,95;DKK
2023-06-26;TV2;15 sek;44,00;149023,16;DKK
2025-12-29;DK4;15 sek;40,10;169273,26;DKK
2024-05-06;DK4;15 sek;128,00;501309,09;DKK
2025-03-10;TV2;30 sek;18,30;77890,13;DKK
2025-07-07;TV2;30 sek;8,90;42134,72;DKK
2022-09-12;TV2;30 sek;28,20;126840,53;DKK
2025-10-27;Kanal5;30 sek;112,90;505045,39;DKK
2025-06-30;TV2;20 sek;7,40;34991,49;DKK
2022-03-07;DK4;15 sek;37,20;193118,62;DKK
2025-09-08;DK4;20 sek;34,70;124853,82;DKK
2025-12-22;TV2;20 sek;44,90;181456,28;DKK
2024-06-03;DK4;30 sek;83,50;328334,78;DKK
2025-05-12;TV2;15 sek;45,50;195085,69;DKK
2024-03-04;DR1;30 sek;14,20;55710,23;DKK
2025-02-10;Kanal5;30 sek;90,60;49913,97;EUR
2023-06-12;DR1;20 sek;22,90;104017,98;DKK
2023-09-25;DR1;30 sek;22,40;107352,84;DKK
2022-08-08;DK4;20 sek;23,30;98027,92;DKK
2023-12-04;DR1;30 sek;100,80;430037,54;DKK
2023-10-02;DK4;15 sek;14,60;64164,23;DKK
2025-03-17;DR1;30 sek;11,40;40971,22;DKK
2024-03-25;Kanal5;30 sek;33,00;132911,59;DKK
2024-10-21;Kanal5;30 sek;43,10;177323,22;DKK
2025-10-20;Kanal5;30 sek;54,80;254484,17;DKK
2025-11-17;DK4;15 sek;85,30;366418,28;DKK
2024-01-22;DK4;30 sek;65,70;244793,24;DKK
2025-11-24;Kanal5;30 sek;197,20;753706,52;DKK
2025-03-17;TV2;15 sek;18,40;79032,63;DKK
2022-02-07;DK4;30 sek;54,20;236838,92;DKK
2024-12-16;DR1;30 sek;29,50;116231,81;DKK
2023-10-23;Kanal5;30 sek;44,90;27160,13;EUR
2022-02-07;Kanal5;30 sek;43,40;178760,90;DKK
2025-07-21;DR1;15 sek;18,10;67503,21;DKK
2022-09-26;DR1;20 sek;38,80;148614,01;DKK
2024-12-23;DK4;30 sek;23,30;97994,37;DKK
2022-10-31;TV3;30 sek;196,00;742702,60;DKK
2022-02-14;TV2;30 sek;104,10;491501,25;DKK
2024-04-29;DK4;20 sek;43,00;170426,56;DKK
2022-01-31;DK4;15 sek;28,40;114613,98;DKK
2023-10-09;TV3;30 sek;54,50;234686,15;DKK
2022-01-10;DR1;20 sek;13,60;62541,06;DKK
2023-07-17;DR1;30 sek;4,90;17809,15;DKK
2023-02-20;TV3;15 sek;61,60;240066,48;DKK
2023-03-13;Kanal5;30 sek;16,20;66251,74;DKK
2025-07-14;DR1;20 sek;14,70;59858,44;DKK
2024-08-19;TV3;20 sek;54,60;214852,79;DKK
2022-08-08;DK4;30 sek;13,40;53764,40;DKK
2022-02-21;Kanal5;15 sek;69,70;323640,22;DKK
2023-07-17;Kanal5;30 sek;5,30;22943,68;DKK
2025-06-16;Kanal5;15 sek;42,50;179020,35;DKK
2023-06-26;TV2;20 sek;29,60;115392,10;DKK
2023-12-18;DK4;15 sek;51,20;209403,55;DKK
2023-01-09;DK4;30 sek;14,40;60067,73;DKK
2022-12-19;Kanal5;15 sek;81,50;359362,26;DKK
2023-02-20;TV3;30 sek;69,10;287291,82;DKK
2024-03-18;TV3;30 sek;25,40;117556,36;DKK
2024-03-04;TV2;15 sek;9,90;41698,40;DKK
2023-04-24;TV3;15 sek;141,30;579950,46;DKK
2024-06-10;TV3;30 sek;73,10;306021,36;DKK
2024-11-04;DR1;20 sek;81,50;374273,66;DKK
2022-11-14;Kanal5;20 sek;95,60;413425,85;DKK
2024-08-26;Kanal5;15 sek;39,30;151220,68;DKK
2022-07-04;DR1;30 sek;7,10;37069,59;DKK
2023-10-23;TV2;30 sek;81,80;353472,16;DKK
2023-09-25;DR1;30 sek;23,40;97894,04;DKK
2022-11-07;TV3;15 sek;127,30;497551,65;DKK
2025-03-17;TV2;15 sek;19,40;74112,17;DKK
2023-01-30;TV2;20 sek;41,80;178060,43;DKK
2023-12-25;TV3;20 sek;25,80;118475,06;DKK
2022-07-04;Kanal5;20 sek;5,70;23363,25;DKK
2025-09-08;Kanal5;30 sek;32,20;125436,62;DKK
2025-07-14;DK4;30 sek;9,90;39987,06;DKK
2024-02-12;TV2;30 sek;68,50;312471,39;DKK
2025-01-20;Kanal5;30 sek;117,00;458428,14;DKK
2024-01-22;TV2;30 sek;73,00;290974,88;DKK
2024-06-24;DR1;15 sek;13,20;55767,97;DKK
2023-05-22;DK4;15 sek;107,50;533816,48;DKK
2023-03-20;DK4;30 sek;11,70;44511,88;DKK
2025-01-06;Kanal5;30 sek;34,40;147023,14;DKK
2024-12-02;TV2;20 sek;63,20;237055,65;DKK
2025-01-20;TV2;15 sek;57,30;249825,58;DKK
2024-08-05;TV2;15 sek;34,30;146708,71;DKK
2022-05-16;TV2;30 sek;120,80;64255,42;EUR
2024-07-08;TV2;30 sek;2,90;13599,87;DKK
2025-09-29;TV2;30 sek;30,30;117262,84;DKK
2022-06-06;TV2;15 sek;59,70;229752,37;DKK
2024-09-23;DK4;15 sek;29,70;125448,28;DKK
2023-03-06;DR1;30 sek;29,30;118777,61;DKK
2023-03-20;TV3;15 sek;11,20;48794,61;DKK
2025-09-15;DR1;30 sek;46,50;185916,54;DKK
2025-08-11;DR1;30 sek;60,60;215800,20;DKK
2025-10-06;Kanal5;15 sek;32,60;124980,08;DKK
2025-02-17;Kanal5;15 sek;44,90;173072,14;DKK
2022-08-08;Kanal5;20 sek;21,10;95817,16;DKK
2023-05-01;DK4;20 sek;67,20;285859,83;DKK
2023-08-28;TV3;30 sek;98,80;424962,97;DKK
2025-10-20;Kanal5;20 sek;50,00;228196,60;DKK
2023-10-23;TV3;30 sek;55,90;210751,14;DKK
2024-04-22;TV3;30 sek;98,00;423256,53;DKK
2022-07-04;DK4;15 sek;4,60;18276,08;DKK
2023-08-14;DR1;20 sek;54,20;226338,84;DKK
2023-01-30;DK4;15 sek;69,50;304421,15;DKK
2022-03-21;TV2;30 sek;25,80;108718,45;DKK
2023-05-01;TV2;15 sek;63,90;271181,88;DKK
2022-05-16;DK4;30 sek;88,80;388597,55;DKK
2022-05-23;TV2;20 sek;108,10;410134,56;DKK
2022-02-21;Kanal5;20 sek;103,00;64413,19;EUR
2024-07-22;TV3;20 sek;6,20;3607,96;EUR
2024-12-09;DR1;15 sek;62,40;249747,42;DKK
2024-05-27;TV3;15 sek;56,90;242161,83;DKK
2025-04-28;TV3;20 sek;37,10;174163,88;DKK
2024-01-01;TV2;15 sek;36,50;148433,04;DKK
2024-03-25;TV2;15 sek;26,20;113257,41;DKK
2023-10-02;TV2;30 sek;31,40;128046,50;DKK
2022-12-12;DK4;20 sek;55,50;240290,05;DKK
2023-07-03;TV3;15 sek;8,20;35063,56;DKK
2022-01-24;TV2;30 sek;32,10;147851,98;DKK
2025-06-23;DR1;30 sek;16,00;72246,37;DKK
2025-10-20;TV3;30 sek;51,40;29661,89;EUR
2022-01-17;TV3;20 sek;24,00;116267,85;DKK
2022-11-07;DR1;30 sek;97,70;396954,26;DKK
2022-10-17;TV2;30 sek;28,70;127105,31;DKK
2024-07-22;TV3;15 sek;11,40;51406,95;DKK
2022-05-02;DR1;20 sek;57,90;274703,46;DKK
2023-07-03;DK4;30 sek;4,80;22375,46;DKK
2025-08-25;DR1;15 sek;62,70;247062,31;DKK
2024-07-22;TV2;20 sek;7,20;31680,28;DKK
2022-06-27;TV3;15 sek;14,80;57890,53;DKK
2023-12-04;TV3;15 sek;133,40;580682,08;DKK
2025-06-02;TV2;30 sek;71,80;273736,64;DKK
2025-04-14;TV3;20 sek;50,50;238721,23;DKK
2025-06-02;TV3;30 sek;30,60;143696,49;DKK
2022-05-23;TV3;30 sek;49,70;191444,92;DKK
2024-06-10;DR1;15 sek;46,70;203607,23;DKK
2023-03-27;DR1;20 sek;18,90;75755,12;DKK
2023-08-28;TV2;15 sek;112,00;437824,64;DKK
2022-04-25;DR1;15 sek;75,90;302695,10;DKK
2024-09-09;TV3;20 sek;64,10;271696,12;DKK
2024-12-02;TV2;30 sek;71,20;274010,32;DKK
2025-08-04;DK4;15 sek;34,70;141928,50;DKK
2022-07-25;TV2;15 sek;7,40;30776,37;DKK
2023-05-08;TV2;30 sek;76,60;325480,95;DKK
2023-03-27;TV3;15 sek;31,60;128297,21;DKK
2023-11-27;TV3;15 sek;45,40;210666,94;DKK
2024-11-11;TV3;20 sek;72,00;322443,94;DKK
2022-07-18;DR1;15 sek;5,90;24368,38;DKK
2025-02-03;DK4;20 sek;35,70;135080,28;DKK
2025-09-22;TV3;15 sek;25,50;107184,15;DKK
2022-04-18;DR1;15 sek;92,50;378002,16;DKK
2023-04-17;DR1;30 sek;57,70;235729,57;DKK
2025-08-04;Kanal5;30 sek;13,70;63233,55;DKK
2023-03-06;TV2;20 sek;18,50;72476,38;DKK
2024-10-14;TV3;20 sek;121,30;431155,16;DKK
2025-06-09;DK4;20 sek;48,30;213035,94;DKK
2024-07-29;TV2;30 sek;19,20;11318,96;EUR
2023-02-13;DR1;15 sek;55,40;227573,69;DKK
2023-07-24;TV2;30 sek;6,50;31800,25;DKK
2023-06-12;Kanal5;20 sek;23,40;100257,62;DKK
2023-04-10;TV2;30 sek;68,70;328146,96;DKK
2025-04-07;Kanal5;30 sek;92,10;383703,08;DKK
2022-10-10;DK4;30 sek;42,60;169144,01;DKK
2024-08-19;DR1;20 sek;59,80;231661,20;DKK
2025-12-22;Kanal5;20 sek;29,10;121796,24;DKK
2024-10-28;DR1;20 sek;109,50;443139,78;DKK
2024-10-21;TV3;20 sek;65,00;327164,93;DKK
2025-08-25;TV3;30 sek;51,50;231807,17;DKK
2022-12-12;DK4;20 sek;55,50;240290,05;DKK
2025-11-10;TV2;15 sek;38,10;181405,59;DKK
2025-07-28;TV2;15 sek;15,50;63575,83;DKK
2025-02-17;TV3;20 sek;64,40;236708,01;DKK
2024-02-05;TV2;15 sek;42,10;186916,10;DKK
2025-02-10;TV3;30 sek;35,20;151570,41;DKK
2023-02-13;DR1;15 sek;28,50;120321,54;DKK
2022-08-29;Kanal5;20 sek;67,30;297230,61;DKK
2024-01-08;Kanal5;30 sek;28,60;112943,88;DKK
2025-01-06;DK4;20 sek;22,10;82809,17;DKK
2025-12-08;DR1;30 sek;127,60;565035,68;DKK
2025-10-06;DK4;15 sek;31,90;127557,58;DKK
2022-10-03;TV2;20 sek;13,40;63213,74;DKK
2025-06-02;DK4;20 sek;63,00;261778,77;DKK
2022-05-23;TV3;15 sek;47,90;208940,25;DKK
2025-12-22;TV2;30 sek;43,00;193945,38;DKK
2022-12-05;TV2;30 sek;64,00;247710,17;DKK
2023-09-18;TV3;15 sek;71,50;327907,14;DKK
2022-08-15;TV2;20 sek;38,10;152870,48;DKK
2024-11-11;DK4;20 sek;51,40;218643,48;DKK
2024-12-30;DR1;20 sek;14,10;63460,38;DKK
2023-11-13;Kanal5;15 sek;169,30;614194,16;DKK
2024-12-16;DK4;15 sek;23,30;98273,35;DKK
2023-07-24;TV2;20 sek;5,80;23548,13;DKK
2023-11-13;DR1;20 sek;132,70;71031,06;EUR
2024-05-27;TV2;15 sek;94,60;374624,62;DKK
2022-01-17;DK4;30 sek;13,20;56356,28;DKK
2022-01-31;TV3;30 sek;40,70;199970,12;DKK
2022-06-20;TV3;15 sek;37,20;159577,22;DKK
2022-01-24;TV2;20 sek;18,00;71814,78;DKK
2024-06-24;DR1;20 sek;6,30;26019,17;DKK
2024-01-15;TV3;20 sek;26,60;100516,27;DKK
2022-11-07;Kanal5;30 sek;54,80;214808,38;DKK
2022-10-17;TV3;20 sek;36,40;156731,18;DKK
2023-07-10;TV2;30 sek;6,70;28353,67;DKK
2024-06-24;DK4;30 sek;11,30;47997,78;DKK
2022-05-09;DR1;20 sek;152,20;611257,33;DKK
2022-02-07;TV2;30 sek;66,90;34753,30;EUR
2023-02-06;TV2;30 sek;47,80;183358,96;DKK
2024-11-11;TV2;20 sek;57,20;239563,99;DKK
2022-01-03;DR1;30 sek;13,90;62972,10;DKK
2025-03-03;DR1;15 sek;27,90;114680,60;DKK
2024-11-04;TV2;15 sek;102,90;467524,26;DKK
2025-06-30;TV2;30 sek;11,20;47028,77;DKK
2023-03-13;TV2;15 sek;18,80;84649,27;DKK
2022-07-11;TV2;15 sek;2,90;12146,24;DKK
2023-09-25;DR1;30 sek;22,40;107352,84;DKK
2024-08-12;TV2;20 sek;91,60;421875,36;DKK
2025-02-24;TV2;20 sek;38,20;173972,62;DKK
2025-09-15;DK4;15 sek;60,80;259059,38;DKK
2022-05-02;DR1;30 sek;48,40;200508,13;DKK
2025-05-19;TV2;15 sek;82,40;302790,43;DKK
2023-08-14;TV3;30 sek;20,80;102788,35;DKK
2024-09-09;DK4;20 sek;34,50;128168,46;DKK
2024-02-05;DR1;30 sek;73,30;258579,25;DKK
2022-08-01;TV2;30 sek;43,10;170185,54;DKK
2025-11-17;DR1;30 sek;83,40;434993,52;DKK
2025-04-21;TV2;20 sek;197,70;796973,98;DKK
2023-01-16;DR1;15 sek;22,30;103530,99;DKK
2024-10-14;Kanal5;30 sek;63,00;268174,77;DKK
2025-09-22;DR1;20 sek;29,20;117465,68;DKK
2022-09-26;TV3;30 sek;37,70;166735,44;DKK
2023-07-17;Kanal5;15 sek;4,80;21039,62;DKK
2022-10-10;TV3;30 sek;17,00;69047,20;DKK
2023-05-29;TV2;20 sek;162,80;648984,38;DKK
2024-03-25;Kanal5;15 sek;24,60;105195,33;DKK
2023-10-30;Kanal5;20 sek;106,20;427565,24;DKK
2024-09-23;Kanal5;15 sek;24,40;109287,93;DKK
2023-10-30;TV3;30 sek;68,70;304247,03;DKK
2023-07-24;Kanal5;20 sek;7,30;31669,63;DKK
2023-12-25;DK4;30 sek;28,20;116053,87;DKK
2024-01-22;TV2;20 sek;47,40;209847,43;DKK
2023-08-28;Kanal5;15 sek;54,40;220800,45;DKK
2024-04-29;DK4;20 sek;64,40;297903,73;DKK
2024-08-19;TV3;30 sek;19,20;87834,53;DKK
2024-04-01;TV2;15 sek;68,60;309137,22;DKK
2023-07-31;TV3;30 sek;15,20;76198,37;DKK
2023-11-27;TV2;20 sek;80,90;345287,57;DKK
2025-07-07;TV3;15 sek;3,40;15473,30;DKK
2025-06-30;DR1;20 sek;6,90;31240,39;DKK
2022-03-28;TV3;30 sek;64,40;281869,09;DKK
2024-09-30;DK4;30 sek;25,60;107661,12;DKK
2022-08-08;DK4;15 sek;28,10;107819,40;DKK
2025-11-24;TV3;15 sek;104,80;474665,94;DKK
2025-12-15;DR1;30 sek;38,60;155880,15;DKK
2023-08-07;Kanal5;30 sek;23,20;94241,12;DKK
2022-09-12;Kanal5;30 sek;54,30;220284,47;DKK
2025-09-22;TV3;15 sek;11,50;48345,62;DKK
2025-10-27;DR1;30 sek;65,20;278900,02;DKK
2022-08-22;DR1;30 sek;80,10;366416,90;DKK
2022-04-11;Kanal5;20 sek;48,90;212972,34;DKK
2024-12-30;DK4;15 sek;22,90;86068,96;DKK
2023-12-11;TV2;20 sek;168,40;696840,07;DKK
2024-02-12;TV3;15 sek;40,30;165683,36;DKK
2022-08-15;TV3;15 sek;43,20;197366,32;DKK
2023-03-27;TV3;20 sek;29,80;116209,23;DKK
2025-12-15;DK4;30 sek;29,90;121740,00;DKK
2025-04-21;Kanal5;30 sek;121,10;68767,27;EUR
2022-01-10;TV3;30 sek;17,30;64835,01;DKK
2023-06-12;DR1;20 sek;34,60;131445,89;DKK
2023-04-03;Kanal5;20 sek;108,30;459468,64;DKK
2025-02-24;TV3;30 sek;24,90;106085,86;DKK
2023-08-21;DR1;20 sek;47,20;209198,63;DKK
2022-12-05;TV2;30 sek;64,00;247710,17;DKK
2022-07-18;DR1;30 sek;3,90;14763,78;DKK
2022-06-27;DK4;20 sek;10,40;5054,59;EUR
2023-02-06;TV3;30 sek;47,90;204026,03;DKK
2022-11-21;Kanal5;20 sek;76,50;320224,30;DKK
2022-01-10;DR1;20 sek;11,00;47661,24;DKK
2022-11-21;TV3;15 sek;40,90;163926,25;DKK
2022-07-11;Kanal5;30 sek;2,80;12407,79;DKK
2024-07-15;Kanal5;15 sek;12,90;48829,75;DKK
2022-09-12;TV2;30 sek;72,30;306750,08;DKK
2024-11-18;DR1;20 sek;56,60;238286,35;DKK
2024-02-19;DR1;15 sek;79,30;361308,55;DKK
2024-03-18;TV3;15 sek;31,40;147285,98;DKK
2023-12-11;DK4;30 sek;58,40;260372,76;DKK
2023-01-23;TV2;30 sek;68,40;307344,09;DKK
2023-07-31;Kanal5;20 sek;16,50;66062,93;DKK
2022-01-17;TV2;15 sek;11,30;48677,67;DKK
2024-12-23;DK4;20 sek;16,40;7783,49;EUR
2022-12-05;DR1;20 sek;88,70;375802,16;DKK
2025-09-29;TV2;30 sek;55,00;250890,25;DKK
2023-03-27;Kanal5;15 sek;29,10;125746,49;DKK
2023-02-27;DR1;15 sek;23,10;112217,81;DKK
2025-02-17;TV2;20 sek;82,70;317583,86;DKK
2022-08-15;TV3;30 sek;36,30;151276,25;DKK
2024-04-01;DK4;30 sek;80,00;309070,20;DKK
2023-10-16;Kanal5;30 sek;37,50;170182,00;DKK
2023-12-18;Kanal5;20 sek;17,90;79697,65;DKK
2022-05-23;DK4;30 sek;45,40;189326,32;DKK
2024-09-02;DK4;30 sek;62,90;262488,35;DKK
2023-09-11;Kanal5;20 sek;64,30;299424,96;DKK
2022-08-29;DK4;20 sek;75,00;299540,29;DKK
2025-04-14;DR1;30 sek;67,60;268468,89;DKK
2024-05-06;TV2;30 sek;118,80;473033,36;DKK
2025-01-27;DK4;20 sek;117,60;406549,72;DKK
2023-08-21;TV3;15 sek;48,50;196693,15;DKK
2022-06-13;Kanal5;20 sek;89,80;413381,55;DKK
2022-02-07;TV3;30 sek;26,20;115066,83;DKK
2025-05-19;DR1;20 sek;36,30;22329,80;EUR
2025-09-08;DK4;15 sek;46,80;196265,94;DKK
2024-12-23;TV2;30 sek;33,80;18947,99;EUR
2022-12-12;TV2;20 sek;79,10;313629,57;DKK
2025-07-28;Kanal5;30 sek;20,60;86108,18;DKK
2023-09-25;TV2;20 sek;20,80;81741,96;DKK
2024-12-02;DR1;15 sek;65,40;247095,35;DKK
2023-03-13;TV3;30 sek;22,80;85440,83;DKK
2025-08-04;TV3;20 sek;20,80;80356,53;DKK
2025-08-11;DK4;15 sek;53,60;233885,58;DKK
2024-08-26;DR1;20 sek;44,50;200950,21;DKK
2024-09-30;TV2;15 sek;27,00;109935,71;DKK
2024-11-25;Kanal5;15 sek;127,90;489876,39;DKK
2024-09-16;TV2;15 sek;14,60;55431,47;DKK
2023-10-23;Kanal5;20 sek;96,00;401411,54;DKK
2023-09-18;DK4;20 sek;29,50;121809,30;DKK
2024-07-29;TV3;15 sek;20,30;67528,17;DKK
2023-10-30;DK4;20 sek;56,10;228769,43;DKK
2025-02-10;DK4;15 sek;96,80;395386,51;DKK
2022-03-28;DK4;20 sek;40,40;19823,13;EUR
2024-08-05;DK4;20 sek;21,20;79564,70;DKK
2025-10-06;DK4;30 sek;16,90;65981,67;DKK
2023-12-25;DK4;15 sek;11,40;49838,26;DKK
2025-07-21;Kanal5;30 sek;12,00;48616,43;DKK
2024-10-28;Kanal5;20 sek;127,80;73712,13;EUR
2023-12-18;TV2;15 sek;37,70;135457,15;DKK
2024-08-12;Kanal5;15 sek;94,30;428709,04;DKK
2022-01-31;DK4;20 sek;66,20;281843,64;DKK
2022-01-03;TV2;30 sek;9,00;34654,69;DKK
2022-05-02;DK4;15 sek;71,70;306129,51;DKK
2024-07-08;TV2;20 sek;3,00;14362,24;DKK
2022-08-29;TV3;30 sek;48,10;201787,04;DKK
2023-07-17;DR1;20 sek;4,80;21001,96;DKK
2022-07-25;DK4;15 sek;9,90;40884,05;DKK
2024-09-30;TV3;15 sek;25,10;104074,19;DKK
2024-07-01;TV2;30 sek;10,20;43010,74;DKK
2023-09-04;TV2;20 sek;66,50;274794,23;DKK
2025-06-09;DK4;20 sek;35,50;156279,53;DKK
2025-05-12;TV3;20 sek;61,90;244835,68;DKK
2022-01-03;TV2;30 sek;10,90;47989,24;DKK
2024-11-04;DK4;15 sek;97,40;391896,40;DKK
2022-09-05;TV3;20 sek;43,60;205873,50;DKK
2022-12-05;DR1;20 sek;131,00;485227,40;DKK
2025-09-01;DR1;20 sek;131,40;526754,17;DKK
2024-09-16;TV2;30 sek;26,10;116986,79;DKK
2022-11-28;TV2;15 sek;67,90;270965,44;DKK
2023-02-13;DK4;30 sek;33,60;136020,99;DKK
2024-09-23;TV2;15 sek;22,10;90949,59;DKK
2024-08-05;TV3;30 sek;26,90;13882,55;EUR
2023-02-13;TV3;15 sek;61,10;222304,45;DKK
2025-04-28;TV2;15 sek;49,70;228317,98;DKK
2023-11-27;Kanal5;20 sek;75,80;293125,67;DKK
2024-08-26;DK4;30 sek;27,30;111801,30;DKK
2022-04-04;DR1;20 sek;75,00;289326,94;DKK
2022-12-19;DK4;20 sek;51,40;226353,32;DKK
2024-12-09;DK4;15 sek;64,30;257338,46;DKK
2024-04-29;TV2;30 sek;86,90;363842,29;DKK
2024-09-16;DK4;15 sek;26,50;120363,01;DKK
2022-03-21;DR1;20 sek;42,40;193288,66;DKK
2023-04-17;DR1;15 sek;55,20;225777,63;DKK
2024-02-19;DR1;30 sek;80,80;354131,94;DKK
2024-05-20;Kanal5;30 sek;97,70;423165,87;DKK
2024-06-24;Kanal5;15 sek;13,60;72720,30;DKK
2022-08-01;TV2;20 sek;36,30;127407,50;DKK
2024-10-21;Kanal5;30 sek;59,40;273157,50;DKK
2024-11-18;TV3;30 sek;36,90;169728,16;DKK
2022-11-21;TV2;15 sek;60,00;236484,46;DKK
2023-07-31;Kanal5;30 sek;15,60;68406,79;DKK
2024-06-03;DR1;30 sek;139,90;579441,60;DKK
2022-04-11;Kanal5;20 sek;41,70;150901,22;DKK
2024-12-30;DK4;15 sek;34,50;151289,13;DKK
2023-06-19;TV3;20 sek;48,30;206865,61;DKK
2022-01-17;TV3;30 sek;14,60;62994,15;DKK
2025-10-27;TV2;15 sek;47,80;218818,47;DKK
2022-04-18;TV3;30 sek;175,30;702316,30;DKK
2025-06-30;DK4;30 sek;15,40;56787,38;DKK
2023-12-25;DR1;30 sek;32,80;132743,62;DKK
2024-10-07;TV3;15 sek;73,30;319469,33;DKK
2025-12-01;TV3;15 sek;104,50;458752,30;DKK
2025-11-10;TV2;15 sek;66,90;259039,42;DKK
2023-10-02;TV3;30 sek;23,80;118382,72;DKK
2022-06-27;DR1;20 sek;17,70;72472,19;DKK
2023-08-21;TV2;20 sek;35,30;160965,08;DKK
2022-09-12;Kanal5;30 sek;66,70;262736,72;DKK
2024-08-05;Kanal5;20 sek;38,50;158344,31;DKK
2024-12-23;DR1;30 sek;32,60;137542,66;DKK
2025-10-06;Kanal5;20 sek;20,10;94021,70;DKK
2023-09-11;DR1;20 sek;91,00;384790,83;DKK
2022-06-06;TV3;20 sek;45,10;177288,35;DKK
2024-07-01;DR1;15 sek;13,70;7216,61;EUR
