Campaign name;Amount spent (DKK);Impressions;Link clicks;Purchases;Purchase conversion value;date_str;currency
HH_Social_Retargeting_Havesaeson_202304;569,11;22546;657;21;1107,25;01.04.2023;EUR
hh_dk_Social_Prospecting_BlackFriday_202511;12115,17;141110;3618;49;22647,27;24.11.2025;DKK
HH_Social_Prospecting_Alm_202507;27748,99;408262;4365;120;69386,88;27.07.2025;DKK
HH_Social_Retargeting_Havesaeson_202504;730,53;53703;1114;24;1999,18;16.04.2025;EUR
HH_Social_Retargeting_BlackFriday_202511_kopi;14401,25;119468;2811;55;33977,36;27.11.2025;DKK
hh_dk_Social_Retargeting_BlackFriday_202311;7424,92;45830;1069;29;20918,42;14.11.2023;DKK
hh_dk_Social_Retargeting_Alm_202208;13198,80;105110;1778;59;35049,25;07.08.2022;DKK
HH_Social_Retargeting_Alm_202503;14778,86;196355;2853;56;40456,32;03.03.2025;DKK
Havehjornet_Social_Prospecting_Alm_202507;2307,80;298170;2873;87;6439,61;28.07.2025;EUR
HH_Social_Prospecting_Havesaeson_202406_kopi;24382,06;216036;3666;122;62811,30;01.06.2024;DKK
Havehjornet_Social_Prospecting_Jul_202212;15526,85;112940;2097;70;47930,89;17.12.2022;DKK
HH_Social_Prospecting_Jul_202512;14257,86;75570;2996;63;53619,65;19.12.2025;DKK
HAVEHJ_Social_Prospecting_Jul_202212;20324,83;266435;3192;107;72476,45;18.12.2022;DKK
hh_dk_Social_Prospecting_Havesaeson_202406;26406,49;190154;8468;120;53909,63;05.06.2024;DKK
Havehjornet_Social_Prospecting_Alm_202310;6769,57;125238;2220;29;19348,74;05.10.2023;DKK
Havehjornet_Social_Prospecting_Alm_202307;17656,20;344636;3312;88;55409,77;30.07.2023;DKK
HH_Social_Prospecting_Havesaeson_202305;13535,49;86648;1935;61;39488,79;22.05.2023;DKK
Havehjornet_Social_Retargeting_Alm_202302;1877,66;13077;341;8;4500,25;21.02.2023;DKK
hh_dk_Social_Prospecting_Alm_202410;17539,85;307611;3029;94;56748,83;05.10.2024;DKK
HAVEHJ_Social_Retargeting_Alm_202509;6193,98;44026;1079;23;12330,27;11.09.2025;DKK
HH_Social_Prospecting_Alm_202410;29233,33;210917;6717;135;99345,67;14.10.2024;DKK
Havehjornet_Social_Retargeting_Jul_202512;678,22;51818;1495;23;1539,29;06.12.2025;EUR
HAVEHJ_Social_Prospecting_Havesaeson_202505;11598,42;63989;2095;62;30140,66;26.05.2025;DKK
HH_Social_Prospecting_Havesaeson_202406;16676,03;103573;4777;75;48861,63;19.06.2024;DKK
Havehjornet_Social_Retargeting_Alm_202510_kopi;133,81;10524;142;4;386,58;17.10.2025;EUR
HH_Social_Retargeting_Alm_202307;1053,08;46579;1062;39;3003,07;22.07.2023;EUR
Havehjornet_Social_Prospecting_Alm_202403;27233,18;198593;4296;119;83019,95;27.03.2024;DKK
hh_dk_Social_Retargeting_Alm_202510;844,11;34650;1872;31;2571,29;19.10.2025;EUR
HH_Social_Prospecting_Alm_202510;3710,99;55878;529;19;9217,01;02.10.2025;DKK
hh_dk_Social_Prospecting_Havesaeson_202306;14520,75;94624;4779;66;38656,18;22.06.2023;DKK
hh_dk_Social_Retargeting_Alm_202307;6049,43;33737;1024;26;11626,58;31.07.2023;DKK
HH_Social_Prospecting_Havesaeson_202206;2229,15;98953;2393;70;8916,03;25.06.2022;EUR
Havehjornet_Social_Retargeting_Havesaeson_202505;8262,15;77981;1614;32;23673,07;19.05.2025;DKK
Havehjornet_Social_Retargeting_Alm_202307;10527,02;62213;1669;49;29648,76;06.07.2023;DKK
hh_dk_Social_Retargeting_Alm_202301;3656,77;50746;480;16;14202,39;20.01.2023;DKK
HH_Social_Prospecting_Havesaeson_202206_kopi;21783,99;269671;4204;92;62288,69;15.06.2022;DKK
hh_dk_Social_Prospecting_Jul_202412;11025,50;57465;2121;60;28128,09;02.12.2024;DKK
Havehjornet_Social_Prospecting_Havesaeson_202406;6643,69;109533;1681;33;16470,16;25.06.2024;DKK
Havehjornet_Social_Retargeting_Alm_202301;11318,05;73368;2792;45;30263,96;06.01.2023;DKK
HH_Social_Retargeting_Alm_202509;2475,68;33141;374;9;5760,99;29.09.2025;DKK
HH_Social_Prospecting_Havesaeson_202304;10479,31;100248;1828;45;39927,96;22.04.2023;DKK
Havehjornet_Social_Prospecting_Alm_202309;5971,49;33856;757;33;14632,95;06.09.2023;DKK
HH_Social_Prospecting_Alm_202309;12307,43;74397;2903;53;45592,45;30.09.2023;DKK
hh_dk_Social_Retargeting_Alm_202407;4161,82;49335;1342;19;13002,31;20.07.2024;DKK
hh_dk_Social_Retargeting_Alm_202209;11010,05;88527;2286;44;27160,35;08.09.2022;DKK
Havehjornet_Social_Retargeting_Alm_202401;1155,25;118706;1348;34;3229,58;23.01.2024;EUR
hh_dk_Social_Prospecting_Havesaeson_202305_kopi;13992,22;118590;2451;62;44956,22;15.05.2023;DKK
HAVEHJ_Social_Prospecting_Alm_202501_kopi;5458,38;44618;1208;24;19141,52;05.01.2025;DKK
HAVEHJ_Social_Prospecting_Alm_202203;34962,41;520858;8759;158;100277,68;21.03.2022;DKK
hh_dk_Social_Prospecting_Alm_202301;8048,13;41419;1053;43;23551,29;01.01.2023;DKK
hh_dk_Social_Prospecting_Alm_202310;15831,67;296049;4412;85;61721,11;16.10.2023;DKK
Havehjornet_Social_Prospecting_BlackFriday_202211_kopi;18514,97;212840;2622;93;65576,83;19.11.2022;DKK
Havehjornet_Social_Retargeting_Alm_202310;17121,76;103938;4087;67;46293,41;28.10.2023;DKK
hh_dk_Social_Prospecting_Alm_202308;22990,81;161318;2876;123;66560,97;13.08.2023;DKK
hh_dk_Social_Retargeting_Alm_202203;9695,56;59777;1729;42;20164,47;17.03.2022;DKK
HH_Social_Retargeting_Alm_202401;3860,57;60013;699;15;7714,16;29.01.2024;DKK
hh_dk_Social_Retargeting_Jul_202312;1553,88;164713;2031;44;2677,04;13.12.2023;EUR
HH_Social_Retargeting_Alm_202401;7193,35;58739;2253;27;16360,67;08.01.2024;DKK
hh_dk_Social_Prospecting_Alm_202402;28822,80;147891;9524;142;71788,73;29.02.2024;DKK
HAVEHJ_Social_Prospecting_Havesaeson_202406;24347,82;173662;6622;137;67555,88;28.06.2024;DKK
Havehjornet_Social_Prospecting_Alm_202302;11092,58;56042;1995;60;36988,86;17.02.2023;DKK
Havehjornet_Social_Prospecting_Alm_202508_kopi;5905,94;238232;8012;216;22332,67;17.08.2025;EUR
hh_dk_Social_Retargeting_Havesaeson_202204;11508,08;69911;1500;43;30709,92;03.04.2022;DKK
HH_Social_Retargeting_Alm_202401;687,43;27399;660;22;1711,50;25.01.2024;EUR
Havehjornet_Social_Prospecting_Jul_202412;25346,04;342907;3796;124;79029,35;28.12.2024;DKK
HAVEHJ_Social_Prospecting_Havesaeson_202506_kopi;10044,64;80907;1953;46;44994,25;30.06.2025;DKK
hh_dk_Social_Prospecting_Alm_202510;5830,17;45438;818;32;18779,10;07.10.2025;DKK
HH_Social_Prospecting_Alm_202408;37562,18;246432;5307;155;87882,53;08.08.2024;DKK
HAVEHJ_Social_Prospecting_Alm_202207;9713,75;66127;1357;51;32993,25;16.07.2022;DKK
hh_dk_Social_Prospecting_Alm_202203;39378,33;258089;8558;220;132579,54;20.03.2022;DKK
HAVEHJ_Social_Prospecting_Alm_202507;9517,79;51693;1797;41;25683,77;11.07.2025;DKK
HAVEHJ_Social_Prospecting_Jul_202312;29628,88;285972;4021;139;88030,53;06.12.2023;DKK
Havehjornet_Social_Prospecting_Alm_202202;11648,72;212124;2315;62;53307,78;22.02.2022;DKK
hh_dk_Social_Prospecting_Alm_202309;9960,24;53117;1711;49;24420,56;25.09.2023;DKK
HH_Social_Retargeting_Alm_202203_kopi;7985,26;52310;1985;39;16982,24;09.03.2022;DKK
HAVEHJ_Social_Retargeting_Alm_202310;4530,52;28191;892;17;13607,84;19.10.2023;DKK
hh_dk_Social_Prospecting_Havesaeson_202306_kopi;25657,04;199989;4206;114;64187,82;07.06.2023;DKK
hh_dk_Social_Retargeting_Jul_202212;7437,02;80213;1378;29;19031,71;07.12.2022;DKK
Havehjornet_Social_Retargeting_Alm_202502;5490,63;43337;1011;21;14870,48;21.02.2025;DKK
HH_Social_Prospecting_Alm_202503;15690,11;181315;1966;83;39938,95;29.03.2025;DKK
hh_dk_Social_Retargeting_Alm_202209;7771,99;46848;1158;34;19124,41;21.09.2022;DKK
HAVEHJ_Social_Prospecting_Havesaeson_202204;20962,60;198096;4607;93;59398,77;02.04.2022;DKK
Havehjornet_Social_Prospecting_Alm_202409;2397,80;152907;3236;96;4493,34;23.09.2024;EUR
HAVEHJ_Social_Retargeting_Alm_202508;4916,94;35161;725;20;12467,09;28.08.2025;DKK
hh_dk_Social_Retargeting_Alm_202310;914,56;81662;1088;26;1920,52;22.10.2023;EUR
HAVEHJ_Social_Prospecting_Havesaeson_202206;22862,56;225674;5764;119;70172,76;17.06.2022;DKK
Havehjornet_Social_Retargeting_Alm_202409;9371,29;62192;1992;36;24005,09;06.09.2024;DKK
hh_dk_Social_Retargeting_Alm_202509;7324,52;50196;1748;27;21553,33;28.09.2025;DKK
HH_Social_Retargeting_Havesaeson_202505;5819,32;95867;778;21;12195,19;21.05.2025;DKK
Havehjornet_Social_Retargeting_Alm_202202;4193,85;42348;772;18;8983,82;01.02.2022;DKK
HAVEHJ_Social_Prospecting_BlackFriday_202511;6531,60;476377;6316;220;18735,65;25.11.2025;EUR
Havehjornet_Social_Retargeting_Alm_202302;8775,68;67616;1100;35;31297,15;20.02.2023;DKK
hh_dk_Social_Retargeting_Alm_202408;12891,76;75861;1710;50;28133,26;26.08.2024;DKK
HAVEHJ_Social_Retargeting_Alm_202408;2260,13;170503;2651;65;6134,99;16.08.2024;EUR
HH_Social_Retargeting_Alm_202207;1219,95;141986;1885;36;2331,82;24.07.2022;EUR
HAVEHJ_Social_Retargeting_Alm_202502;4691,91;43317;1265;22;11700,86;18.02.2025;DKK
HH_Social_Retargeting_BlackFriday_202411;2980,88;19816;412;11;8692,25;19.11.2024;DKK
HAVEHJ_Social_Prospecting_Havesaeson_202206;19150,38;183324;4322;97;44240,17;24.06.2022;DKK
HH_Social_Retargeting_Alm_202207;6028,44;54096;765;28;21003,80;13.07.2022;DKK
Havehjornet_Social_Prospecting_Alm_202310;1736,23;172900;1704;58;5363,69;30.10.2023;EUR
HH_Social_Retargeting_Alm_202503;3438,20;17253;636;14;7860,61;05.03.2025;DKK
Havehjornet_Social_Prospecting_Alm_202509;8730,07;104051;1716;37;30660,75;30.09.2025;DKK
HH_Social_Retargeting_Alm_202210;11033,55;75472;3156;52;20098,50;03.10.2022;DKK
HH_Social_Retargeting_Havesaeson_202404;7103,03;37866;1151;32;19074,11;15.04.2024;DKK
HH_Social_Prospecting_Alm_202407;20821,77;292182;2880;86;60324,47;23.07.2024;DKK
Havehjornet_Social_Retargeting_Alm_202410_kopi;6513,31;124817;912;27;20182,62;08.10.2024;DKK
HH_Social_Retargeting_Alm_202310;4416,74;64354;1304;20;12491,12;01.10.2023;DKK
HAVEHJ_Social_Retargeting_Havesaeson_202304_kopi;12291,48;66165;2286;59;26045,91;16.04.2023;DKK
Havehjornet_Social_Prospecting_Alm_202403;38618,35;202840;5623;158;89708,90;15.03.2024;DKK
hh_dk_Social_Prospecting_Alm_202209;8842,54;83922;1819;43;27585,89;27.09.2022;DKK
Havehjornet_Social_Retargeting_Alm_202402;6674,32;128085;1027;31;13087,93;13.02.2024;DKK
hh_dk_Social_Retargeting_Alm_202403;8738,21;59857;2059;40;16436,95;27.03.2024;DKK
HAVEHJ_Social_Prospecting_Jul_202212;4062,13;35251;550;17;12384,22;30.12.2022;DKK
hh_dk_Social_Retargeting_Havesaeson_202205;7793,16;48653;2342;31;18405,90;14.05.2022;DKK
HH_Social_Prospecting_BlackFriday_202311;26264,52;462194;5272;121;76980,02;27.11.2023;DKK
HH_Social_Prospecting_Alm_202303;13341,07;93306;2377;61;36728,44;11.03.2023;DKK
HH_Social_Retargeting_Alm_202510;8554,63;62292;2654;41;22450,64;01.10.2025;DKK
HH_Social_Retargeting_Havesaeson_202506;25799,21;358784;5489;112;49765,55;02.06.2025;DKK
Havehjornet_Social_Prospecting_Alm_202403;35147,86;363466;11523;152;98063,50;07.03.2024;DKK
hh_dk_Social_Prospecting_Alm_202210;17837,16;96703;2973;83;47694,59;17.10.2022;DKK
HAVEHJ_Social_Prospecting_Alm_202407;3367,80;233330;3910;121;11424,37;01.07.2024;EUR
HH_Social_Prospecting_Alm_202303;44487,75;294691;10208;231;110266,79;19.03.2023;DKK
HAVEHJ_Social_Retargeting_Havesaeson_202405;7051,22;74339;1045;31;24125,67;04.05.2024;DKK
Havehjornet_Social_Prospecting_Alm_202308;15042,32;79195;2260;84;50637,11;26.08.2023;DKK
HH_Social_Prospecting_Alm_202410;2023,55;93420;2384;74;5721,69;13.10.2024;EUR
hh_dk_Social_Retargeting_Alm_202510;15231,29;106705;2795;71;40175,78;08.10.2025;DKK
Havehjornet_Social_Retargeting_Alm_202310;1477,44;68931;2061;49;4001,96;23.10.2023;EUR
HH_Social_Prospecting_Alm_202507;1763,62;137872;2022;71;6278,50;02.07.2025;EUR
Havehjornet_Social_Retargeting_Havesaeson_202406;7096,70;54664;1358;27;17566,45;09.06.2024;DKK
hh_dk_Social_Retargeting_BlackFriday_202411;5914,02;32627;757;27;11097,75;18.11.2024;DKK
HAVEHJ_Social_Prospecting_Alm_202310;8971,10;69193;2091;49;27639,98;14.10.2023;DKK
Havehjornet_Social_Retargeting_Havesaeson_202504;19086,14;295042;5084;77;40797,75;10.04.2025;DKK
hh_dk_Social_Prospecting_Alm_202308;32076,36;529550;9737;178;87051,72;14.08.2023;DKK
Havehjornet_Social_Retargeting_Alm_202508;7242,37;38089;907;31;18553,30;15.08.2025;DKK
Havehjornet_Social_Prospecting_Havesaeson_202205;36417,96;391276;5044;170;138288,79;21.05.2022;DKK
Havehjornet_Social_Retargeting_Jul_202212;444,64;18387;529;15;1332,57;14.12.2022;EUR
Havehjornet_Social_Prospecting_Alm_202401;13929,41;93955;2626;61;45200,46;10.01.2024;DKK
hh_dk_Social_Retargeting_Alm_202209;1282,23;77227;1313;41;2795,32;18.09.2022;EUR
HAVEHJ_Social_Retargeting_Jul_202512_kopi;6110,78;42856;1124;23;13991,69;03.12.2025;DKK
hh_dk_Social_Prospecting_Havesaeson_202205;69954,94;1168155;9470;286;208931,92;23.05.2022;DKK
Havehjornet_Social_Retargeting_Alm_202402;5001,79;29106;719;19;15210,61;26.02.2024;DKK
hh_dk_Social_Retargeting_Alm_202408;595,56;79746;626;18;1461,55;31.08.2024;EUR
Havehjornet_Social_Prospecting_Alm_202208;51440,49;817081;16860;222;128996,38;28.08.2022;DKK
HH_Social_Retargeting_BlackFriday_202311;11463,12;59206;1855;55;32136,13;19.11.2023;DKK
HH_Social_Prospecting_Alm_202401;10980,33;70248;2663;50;31194,87;07.01.2024;DKK
HAVEHJ_Social_Retargeting_Alm_202403;394,82;23382;634;14;1171,83;20.03.2024;EUR
hh_dk_Social_Retargeting_Alm_202501;11608,56;78248;2244;54;26018,43;25.01.2025;DKK
HAVEHJ_Social_Retargeting_Alm_202507;6979,87;91214;1365;29;15090,14;21.07.2025;DKK
HH_Social_Retargeting_Havesaeson_202406;15386,65;259043;3410;60;32470,65;30.06.2024;DKK
HH_Social_Prospecting_Alm_202410;12323,81;151219;2398;63;43202,80;02.10.2024;DKK
HAVEHJ_Social_Retargeting_Jul_202512;8686,90;49485;1282;38;17850,88;02.12.2025;DKK
Havehjornet_Social_Retargeting_Alm_202402;198,65;17105;232;6;518,73;03.02.2024;EUR
Havehjornet_Social_Retargeting_Alm_202503;11345,77;213876;2151;50;34881,86;04.03.2025;DKK
HAVEHJ_Social_Prospecting_Havesaeson_202504;1515,35;59732;1798;51;3793,66;22.04.2025;EUR
HH_Social_Prospecting_BlackFriday_202311;27476,71;278668;5224;151;92526,42;21.11.2023;DKK
HH_Social_Prospecting_Havesaeson_202204;19955,97;102347;2999;90;59628,45;19.04.2022;DKK
hh_dk_Social_Prospecting_Alm_202501;4499,98;43243;596;22;10780,88;24.01.2025;DKK
HH_Social_Retargeting_Alm_202402;5998,19;83300;1677;24;17070,03;07.02.2024;DKK
HH_Social_Prospecting_Havesaeson_202506;1780,83;163386;1935;75;6427,99;22.06.2025;EUR
hh_dk_Social_Retargeting_Havesaeson_202505_kopi;11412,62;64380;1624;44;35294,46;26.05.2025;DKK
Havehjornet_Social_Prospecting_Alm_202503;34487,80;187160;4590;185;75410,17;16.03.2025;DKK
hh_dk_Social_Retargeting_BlackFriday_202411;573,61;25524;1020;20;1870,04;10.11.2024;EUR
hh_dk_Social_Retargeting_Jul_202212;1037,74;116280;1017;36;2387,52;20.12.2022;EUR
HH_Social_Prospecting_Alm_202208;7282,11;481868;11834;303;23557,93;20.08.2022;EUR
Havehjornet_Social_Prospecting_Alm_202210;23701,83;424609;6930;96;60888,97;02.10.2022;DKK
HH_Social_Retargeting_Alm_202210;7276,42;106813;1054;29;19387,69;05.10.2022;DKK
HH_Social_Prospecting_Havesaeson_202505;36284,29;509532;5574;164;95150,36;16.05.2025;DKK
HH_Social_Prospecting_Havesaeson_202306;21321,36;135762;4688;116;61681,96;08.06.2023;DKK
hh_dk_Social_Prospecting_Alm_202202;37237,40;222773;7210;169;92064,26;24.02.2022;DKK
hh_dk_Social_Retargeting_Havesaeson_202306;8392,75;111923;1067;39;25421,14;25.06.2023;DKK
HH_Social_Retargeting_Alm_202410;808,81;42380;846;28;1600,29;28.10.2024;EUR
hh_dk_Social_Retargeting_Havesaeson_202306;18244,59;108490;2386;87;47866,74;09.06.2023;DKK
Havehjornet_Social_Prospecting_Havesaeson_202305;50107,83;921103;12047;279;128793,29;18.05.2023;DKK
hh_dk_Social_Prospecting_Alm_202210;11590,56;103103;2436;54;37289,94;20.10.2022;DKK
HAVEHJ_Social_Prospecting_Alm_202407;4045,98;75202;703;22;10671,67;24.07.2024;DKK
HH_Social_Prospecting_Havesaeson_202206;3537,88;272271;4556;147;8645,51;07.06.2022;EUR
hh_dk_Social_Retargeting_BlackFriday_202311_kopi;4965,52;70220;988;21;11701,77;29.11.2023;DKK
