kampagne;omkostning;klik;visninger;konverteringer;konv_vaerdi;dato;currency
hh_dk_Search_NonBrand_Alm_202208;8753.78;1779;26609;33;17955.33;25-08-2022;DKK
HH_Search_Brand_Alm_202402;14516.85;2214;63297;65;40647.86;16-02-2024;DKK
Havehjornet_Search_Brand_Alm_202501;4605.56;783;20497;19;13103.17;25-01-2025;DKK
Havehjornet_Search_Brand_Alm_202308;9613.69;1946;40369;51;29646.90;25-08-2023;DKK
hh_dk_Search_NonBrand_Havesaeson_202404;32709.97;4687;123148;111;92107.82;30-04-2024;DKK
hh_dk_Search_Brand_Havesaeson_202406;3223.24;706;19050;16;8080.10;15-06-2024;DKK
Havehjornet_Search_Brand_Alm_202208;1965.97;225;5344;10;6036.29;30-08-2022;DKK
Havehjornet_Search_Brand_Alm_202601;2790.61;662;10335;12;11458.74;03-01-2026;DKK
HAVEHJ_Search_NonBrand_Havesaeson_202404;30017.85;3688;90752;107;72804.77;28-04-2024;DKK
HH_Search_Brand_Alm_202203;3108.97;485;9111;16;12653.80;29-03-2022;DKK
hh_dk_Search_Brand_Alm_202202;1922.16;2626;77904;61;7361.50;25-02-2022;EUR
HAVEHJ_Search_Brand_Alm_202408;3398.48;463;11762;15;8486.05;07-08-2024;DKK
HAVEHJ_Search_Brand_BlackFriday_202211;1455.24;2103;43177;51;4783.07;17-11-2022;EUR
hh_dk_Search_Brand_Jul_202312_kopi;9903.07;1531;26943;50;34011.59;28-12-2023;DKK
hh_dk_Search_Brand_Alm_202410;6384.10;908;23356;26;19033.36;20-10-2024;DKK
HH_Search_NonBrand_Alm_202302;12430.20;1556;35552;44;28564.53;09-02-2023;DKK
HAVEHJ_Search_Brand_Havesaeson_202205_kopi;6458.22;1165;21323;27;22988.33;17-05-2022;DKK
HH_Search_Brand_Alm_202207;7849.86;884;36705;39;24645.13;05-07-2022;DKK
Havehjornet_Search_NonBrand_Alm_202502;2424.22;368;6280;8;3684.45;22-02-2025;DKK
Havehjornet_Search_NonBrand_Alm_202310;13060.99;1577;32908;40;24654.25;11-10-2023;DKK
hh_dk_Search_Brand_Havesaeson_202304;656.41;1103;30666;21;1924.05;18-04-2023;EUR
HH_Search_NonBrand_Alm_202501;9615.66;1071;26441;31;18279.48;30-01-2025;DKK
HH_Search_NonBrand_Jul_202212;27149.63;4550;110545;97;61806.62;20-12-2022;DKK
HH_Search_Brand_Alm_202408_kopi;2149.92;314;9516;11;5767.88;06-08-2024;DKK
HH_Search_NonBrand_Alm_202403_kopi;42565.34;5066;155781;166;105101.03;24-03-2024;DKK
HH_Search_NonBrand_Alm_202410;12641.59;2238;70259;38;23002.34;24-10-2024;DKK
Havehjornet_Search_Brand_BlackFriday_202511_kopi;6376.69;807;29365;27;21278.58;15-11-2025;DKK
Havehjornet_Search_Brand_Havesaeson_202505;9833.69;1645;52181;51;25428.31;11-05-2025;DKK
HH_Search_NonBrand_Alm_202401;7798.96;890;23244;25;14291.99;17-01-2024;DKK
HAVEHJ_Search_Brand_Havesaeson_202204;1045.45;1072;49267;40;2473.09;28-04-2022;EUR
HH_Search_NonBrand_Alm_202508;16035.62;3011;70696;60;32573.93;20-08-2025;DKK
HAVEHJ_Search_NonBrand_Alm_202408;7781.41;1313;23705;22;17287.30;22-08-2024;DKK
HAVEHJ_Search_NonBrand_Alm_202208;14233.58;1863;79499;54;31660.66;01-08-2022;DKK
Havehjornet_Search_NonBrand_Alm_202201;4831.30;808;21659;16;9223.00;31-01-2022;DKK
HAVEHJ_Search_Brand_BlackFriday_202411;9195.27;1724;29028;37;29401.79;03-11-2024;DKK
HAVEHJ_Search_Brand_Havesaeson_202305;8828.63;1105;40996;37;25888.80;02-05-2023;DKK
hh_dk_Search_NonBrand_Havesaeson_202406;23424.53;4460;119258;78;36794.06;24-06-2024;DKK
hh_dk_Search_NonBrand_Jul_202212;13620.21;2399;40435;49;27644.24;27-12-2022;DKK
HH_Search_NonBrand_Alm_202403;6004.43;737;19224;18;11693.07;03-03-2024;DKK
Havehjornet_Search_NonBrand_Havesaeson_202304;45833.32;7698;159247;169;100958.47;24-04-2023;DKK
hh_dk_Search_Brand_Havesaeson_202405;16595.46;2701;65458;74;47426.39;11-05-2024;DKK
Havehjornet_Search_NonBrand_BlackFriday_202511;19901.02;3159;117834;66;51978.68;18-11-2025;DKK
HH_Search_NonBrand_Havesaeson_202206;28540.32;6252;116100;89;71343.70;18-06-2022;DKK
HAVEHJ_Search_Brand_Havesaeson_202206;9793.59;1521;30695;50;40321.84;19-06-2022;DKK
HAVEHJ_Search_NonBrand_Alm_202302;13921.81;2004;56586;45;31485.90;06-02-2023;DKK
hh_dk_Search_NonBrand_Havesaeson_202204;41533.85;8269;123685;152;97850.37;26-04-2022;DKK
Havehjornet_Search_NonBrand_Havesaeson_202304;18515.88;4388;46469;69;35858.31;09-04-2023;DKK
HH_Search_Brand_Jul_202512;6841.94;769;21025;29;17628.51;04-12-2025;DKK
HAVEHJ_Search_Brand_Alm_202409;4759.90;774;15215;24;16475.98;25-09-2024;DKK
HAVEHJ_Search_Brand_Alm_202303;7369.10;1270;22257;32;17517.62;04-03-2023;DKK
HAVEHJ_Search_NonBrand_Alm_202210;3739.39;436;11824;12;5736.32;11-10-2022;DKK
HH_Search_Brand_Havesaeson_202305;3159.51;429;19528;13;9093.29;27-05-2023;DKK
HH_Search_NonBrand_Havesaeson_202305;23146.84;3356;85598;83;43369.76;19-05-2023;DKK
HH_Search_NonBrand_Havesaeson_202505_kopi;26188.42;5705;172605;103;55704.39;05-05-2025;DKK
HAVEHJ_Search_NonBrand_Havesaeson_202305;23161.59;5769;98566;85;56033.74;13-05-2023;DKK
Havehjornet_Search_NonBrand_Jul_202512;14185.97;3111;70781;52;31383.11;20-12-2025;DKK
HH_Search_NonBrand_Havesaeson_202304_kopi;28819.77;3400;103334;86;39577.82;10-04-2023;DKK
Havehjornet_Search_NonBrand_Alm_202508;15097.21;2007;64269;49;34009.48;18-08-2025;DKK
hh_dk_Search_NonBrand_Alm_202201;7248.55;1084;27971;23;16184.84;14-01-2022;DKK
Havehjornet_Search_NonBrand_Havesaeson_202304;64409.83;13852;167900;218;209818.64;26-04-2023;DKK
HH_Search_NonBrand_Havesaeson_202406;25825.29;3873;81465;97;69074.19;25-06-2024;DKK
hh_dk_Search_Brand_Alm_202210;2346.44;382;10165;12;8987.19;27-10-2022;DKK
HH_Search_NonBrand_Alm_202209;5449.12;687;30478;18;12797.73;19-09-2022;DKK
HAVEHJ_Search_Brand_Havesaeson_202204_kopi;11242.97;1825;66283;50;42631.30;26-04-2022;DKK
HAVEHJ_Search_NonBrand_Havesaeson_202405;23398.75;2822;86768;69;51146.34;16-05-2024;DKK
HH_Search_Brand_Alm_202303;817.41;985;36271;28;2753.67;19-03-2023;EUR
Havehjornet_Search_NonBrand_Alm_202401;16685.45;2803;99792;50;34166.56;13-01-2024;DKK
hh_dk_Search_Brand_Havesaeson_202206;695.35;788;21707;24;1836.66;13-06-2022;EUR
Havehjornet_Search_NonBrand_Alm_202309;19427.54;2928;53138;69;52865.43;22-09-2023;DKK
hh_dk_Search_Brand_Jul_202512;9451.88;1478;43020;39;20859.36;31-12-2025;DKK
hh_dk_Search_Brand_Alm_202309_kopi;2632.79;378;8847;12;8430.86;04-09-2023;DKK
HAVEHJ_Search_NonBrand_Alm_202409;4543.40;554;17409;17;9369.96;07-09-2024;DKK
hh_dk_Search_Brand_Alm_202308;3167.33;369;10823;15;9326.68;03-08-2023;DKK
HAVEHJ_Search_Brand_Havesaeson_202204;4425.16;948;13599;24;13509.70;09-04-2022;DKK
HH_Search_NonBrand_Alm_202407;7575.12;1297;30971;26;13310.28;18-07-2024;DKK
Havehjornet_Search_Brand_Alm_202508;6122.27;689;18834;28;14363.05;13-08-2025;DKK
HAVEHJ_Search_NonBrand_Jul_202412;3590.36;449;14710;13;7465.95;05-12-2024;DKK
hh_dk_Search_Brand_Alm_202508;5511.72;903;14294;22;14242.44;06-08-2025;DKK
Havehjornet_Search_Brand_Alm_202408_kopi;5502.82;1286;14245;29;18458.79;01-08-2024;DKK
Havehjornet_Search_NonBrand_Alm_202502;2944.80;436;9725;12;6529.00;28-02-2025;DKK
HAVEHJ_Search_Brand_Alm_202308;5697.38;729;37265;28;14857.42;16-08-2023;DKK
HAVEHJ_Search_Brand_Alm_202310;8040.29;1034;23758;35;23289.38;28-10-2023;DKK
hh_dk_Search_NonBrand_Havesaeson_202304_kopi;31458.44;3874;107987;111;81079.94;28-04-2023;DKK
HH_Search_Brand_Alm_202407_kopi;4279.26;499;16090;22;16436.76;06-07-2024;DKK
HAVEHJ_Search_NonBrand_BlackFriday_202411;6857.62;1528;23330;23;17461.08;09-11-2024;DKK
Havehjornet_Search_Brand_Alm_202403;2889.23;523;14922;16;11355.89;29-03-2024;DKK
hh_dk_Search_Brand_Alm_202303;2502.57;577;6619;12;6205.23;24-03-2023;DKK
hh_dk_Search_Brand_Havesaeson_202205;1121.98;1600;25942;45;3254.32;16-05-2022;EUR
Havehjornet_Search_NonBrand_Alm_202401;12946.34;1521;77600;41;31836.16;15-01-2024;DKK
hh_dk_Search_NonBrand_Alm_202509;1189.54;1930;29401;27;2880.23;23-09-2025;EUR
HH_Search_Brand_Alm_202209;3337.69;833;16562;16;9258.74;20-09-2022;DKK
hh_dk_Search_NonBrand_Havesaeson_202205_kopi;44300.35;7497;207021;140;95523.68;20-05-2022;DKK
HH_Search_NonBrand_Alm_202409;5576.94;935;14238;18;11937.81;13-09-2024;DKK
HH_Search_Brand_Alm_202410;7057.07;1267;21812;31;25828.88;02-10-2024;DKK
HH_Search_Brand_Jul_202412;20336.09;4963;67548;93;57182.43;08-12-2024;DKK
Havehjornet_Search_Brand_Alm_202507;1371.20;209;3623;6;4877.11;22-07-2025;DKK
hh_dk_Search_Brand_Alm_202303;7594.66;1535;22521;31;15369.04;01-03-2023;DKK
Havehjornet_Search_NonBrand_BlackFriday_202511;37935.29;6600;109637;140;79543.07;28-11-2025;DKK
HH_Search_NonBrand_Alm_202503;9866.70;1839;33556;35;22026.86;20-03-2025;DKK
hh_dk_Search_NonBrand_Havesaeson_202504;16634.01;2046;54660;62;31143.36;07-04-2025;DKK
HH_Search_NonBrand_Alm_202207;17046.25;2074;98632;54;38922.76;01-07-2022;DKK
HAVEHJ_Search_NonBrand_Havesaeson_202406;2292.60;3764;57990;61;4832.87;05-06-2024;EUR
hh_dk_Search_NonBrand_Alm_202201_kopi;5994.06;1099;17472;18;16788.92;26-01-2022;DKK
HAVEHJ_Search_NonBrand_Alm_202408;4776.09;1141;21924;16;11917.12;14-08-2024;DKK
Havehjornet_Search_NonBrand_Alm_202503_kopi;8999.52;1411;38218;35;19200.24;31-03-2025;DKK
HH_Search_NonBrand_Alm_202301;10642.31;2550;63340;33;21357.75;20-01-2023;DKK
hh_dk_Search_NonBrand_Havesaeson_202306;5793.79;7644;257749;150;9780.85;02-06-2023;EUR
hh_dk_Search_Brand_BlackFriday_202311;20779.00;3678;104168;94;61831.32;11-11-2023;DKK
HAVEHJ_Search_Brand_Alm_202302;8192.24;1347;35003;34;31746.62;25-02-2023;DKK
hh_dk_Search_NonBrand_Alm_202509_kopi;1946.90;1943;54927;53;3548.78;11-09-2025;EUR
Havehjornet_Search_NonBrand_Alm_202409;7039.80;1275;25786;24;16128.05;08-09-2024;DKK
HAVEHJ_Search_Brand_Alm_202303;5493.56;663;19302;28;13232.74;29-03-2023;DKK
HAVEHJ_Search_NonBrand_Alm_202309;8923.17;1104;31138;34;18650.52;17-09-2023;DKK
HH_Search_NonBrand_Alm_202207;17420.15;4039;58558;67;29312.94;19-07-2022;DKK
HH_Search_NonBrand_Alm_202203;15298.01;3697;57474;50;33163.42;07-03-2022;DKK
Havehjornet_Search_Brand_BlackFriday_202411;3762.31;480;15189;17;9099.80;10-11-2024;DKK
hh_dk_Search_NonBrand_Alm_202501;12597.90;1692;78274;38;24497.25;05-01-2025;DKK
HH_Search_NonBrand_BlackFriday_202511;3903.16;4008;96309;87;6542.38;22-11-2025;EUR
hh_dk_Search_NonBrand_Alm_202303;19147.68;2164;107274;71;41193.01;31-03-2023;DKK
HAVEHJ_Search_NonBrand_Alm_202408;23701.74;4486;71281;74;60693.81;28-08-2024;DKK
HH_Search_NonBrand_Alm_202508;13267.61;2911;65715;51;28648.63;19-08-2025;DKK
Havehjornet_Search_NonBrand_Alm_202510;12165.55;1435;41212;47;28379.23;18-10-2025;DKK
Havehjornet_Search_Brand_Jul_202212;3988.68;447;19508;20;11239.34;03-12-2022;DKK
Havehjornet_Search_NonBrand_Alm_202509;1269.69;1448;49026;37;2650.59;26-09-2025;EUR
HAVEHJ_Search_NonBrand_Jul_202212;41036.68;8456;143495;145;92080.08;24-12-2022;DKK
hh_dk_Search_Brand_Havesaeson_202205;4807.55;682;12918;26;12162.25;21-05-2022;DKK
hh_dk_Search_Brand_Havesaeson_202505_kopi;11058.75;1610;51496;55;39906.05;22-05-2025;DKK
Havehjornet_Search_Brand_Alm_202509;8560.87;971;52469;36;25495.40;07-09-2025;DKK
HAVEHJ_Search_NonBrand_Alm_202508;28268.71;5649;131419;104;78831.08;08-08-2025;DKK
Havehjornet_Search_Brand_Alm_202501_kopi;3755.83;540;11503;18;7938.21;12-01-2025;DKK
Havehjornet_Search_NonBrand_Jul_202412;14704.95;2550;38216;55;34173.09;28-12-2024;DKK
Havehjornet_Search_NonBrand_Alm_202503;7103.58;991;19961;24;16576.76;29-03-2025;DKK
HAVEHJ_Search_NonBrand_Alm_202503;6720.02;823;43588;24;13702.02;09-03-2025;DKK
HH_Search_NonBrand_Jul_202312;11530.21;1578;44182;44;23851.09;26-12-2023;DKK
HH_Search_Brand_Alm_202301;7559.08;1120;43421;41;25230.38;05-01-2023;DKK
Havehjornet_Search_Brand_Alm_202209;12614.57;1668;45373;62;37664.74;23-09-2022;DKK
Havehjornet_Search_Brand_Alm_202503;2278.52;544;6326;11;6997.79;15-03-2025;DKK
HH_Search_Brand_Alm_202207;6644.04;1075;22447;28;22235.62;23-07-2022;DKK
Havehjornet_Search_NonBrand_Havesaeson_202306;32647.76;5991;141985;127;70671.83;13-06-2023;DKK
hh_dk_Search_Brand_Alm_202203_kopi;4189.83;839;17730;21;13983.97;08-03-2022;DKK
hh_dk_Search_Brand_BlackFriday_202511;9619.04;1330;25985;39;26734.89;18-11-2025;DKK
HAVEHJ_Search_Brand_Alm_202203;4893.17;840;14121;25;17390.69;26-03-2022;DKK
HAVEHJ_Search_NonBrand_BlackFriday_202411;7347.53;1245;48664;27;19122.78;08-11-2024;DKK
Havehjornet_Search_Brand_Alm_202307;4335.01;579;26653;21;9837.10;20-07-2023;DKK
hh_dk_Search_NonBrand_Jul_202512;28269.83;4525;75939;96;61353.21;18-12-2025;DKK
hh_dk_Search_Brand_BlackFriday_202211;8501.96;1934;25156;34;23578.47;08-11-2022;DKK
HAVEHJ_Search_NonBrand_Alm_202201_kopi;9203.52;1146;47397;30;21177.46;11-01-2022;DKK
HAVEHJ_Search_NonBrand_BlackFriday_202211;3366.87;6116;68324;80;6433.14;21-11-2022;EUR
hh_dk_Search_Brand_Alm_202309;797.63;834;17075;31;2516.63;17-09-2023;EUR
HAVEHJ_Search_Brand_Havesaeson_202206_kopi;9279.02;1266;29889;46;23640.28;24-06-2022;DKK
HAVEHJ_Search_NonBrand_Alm_202403;708.52;759;25660;17;1252.82;05-03-2024;EUR
Havehjornet_Search_Brand_Alm_202203;12276.76;1454;66646;60;34473.01;05-03-2022;DKK
HAVEHJ_Search_Brand_Alm_202503;2374.75;448;11148;10;7300.19;21-03-2025;DKK
hh_dk_Search_Brand_Alm_202203;3033.62;358;11251;14;11582.00;21-03-2022;DKK
HAVEHJ_Search_Brand_Havesaeson_202404;1525.63;176;6294;8;3377.23;16-04-2024;DKK
Havehjornet_Search_Brand_Havesaeson_202205;6216.13;1215;36617;30;16082.34;30-05-2022;DKK
HH_Search_Brand_Alm_202308;3678.37;736;10696;17;10369.38;20-08-2023;DKK
HAVEHJ_Search_Brand_Alm_202308;3796.00;723;18694;17;8958.60;08-08-2023;DKK
Havehjornet_Search_Brand_Havesaeson_202404;1860.45;341;9064;8;5314.72;06-04-2024;DKK
HH_Search_Brand_Havesaeson_202404;11508.14;1408;48117;56;27453.96;24-04-2024;DKK
Havehjornet_Search_NonBrand_Alm_202301;23823.60;5521;65754;93;58720.60;26-01-2023;DKK
Havehjornet_Search_Brand_Alm_202303;5731.43;969;22755;27;18378.61;10-03-2023;DKK
HH_Search_NonBrand_Alm_202303;20427.17;3993;63716;73;43865.22;28-03-2023;DKK
HH_Search_NonBrand_Alm_202409;4048.11;760;12023;15;5871.21;04-09-2024;DKK
Havehjornet_Search_Brand_Alm_202202;9060.31;1119;28292;40;27897.51;11-02-2022;DKK
HAVEHJ_Search_Brand_Havesaeson_202205;571.14;625;15430;23;1661.15;03-05-2022;EUR
Havehjornet_Search_NonBrand_Alm_202302;17644.56;2668;65395;61;29965.32;07-02-2023;DKK
Havehjornet_Search_NonBrand_Alm_202409;9575.83;1704;35332;37;23001.75;20-09-2024;DKK
HAVEHJ_Search_NonBrand_Havesaeson_202205;15948.46;1973;49774;56;36000.56;28-05-2022;DKK
Havehjornet_Search_Brand_Alm_202410;7901.51;927;28832;34;24339.24;12-10-2024;DKK
Havehjornet_Search_Brand_Alm_202210;1708.66;262;5737;8;5122.81;18-10-2022;DKK
Havehjornet_Search_Brand_BlackFriday_202211;9909.07;1663;37537;41;26107.07;13-11-2022;DKK
HAVEHJ_Search_NonBrand_Alm_202208;3373.18;416;13764;10;8120.59;21-08-2022;DKK
