booking_start;booking_end;format;by;cost_dkk;currency
04-04-2022;04/10/2022;Billboard;Koebenhavn;79869,04;DKK
28-04-2025;05/04/2025;Billboard;Aalborg;157832,82;DKK
09-01-2023;01/15/2023;Bus shelter;Aalborg;52321,46;DKK
30-01-2023;02/05/2023;Storformat;Aalborg;75756,42;DKK
01-01-2024;01/07/2024;Bus shelter;Odense;25304,19;DKK
14-11-2022;11/20/2022;Billboard;Odense;218895,93;DKK
11-07-2022;07/17/2022;Billboard;Aarhus;16448,53;DKK
08-05-2023;05/14/2023;Bus shelter;Koebenhavn;140522,37;DKK
10-01-2022;01/16/2022;Billboard;Odense;40906,68;DKK
14-08-2023;08/20/2023;Citylight;Koebenhavn;87672,64;DKK
01-05-2023;05/07/2023;Bus shelter;Aarhus;103104,15;DKK
08-08-2022;08/14/2022;Citylight;Landsdaekkende;9840,36;EUR
28-08-2023;09/03/2023;Citylight;Aarhus;253824,53;DKK
31-10-2022;11/06/2022;Storformat;Aalborg;22899,28;EUR
08-12-2025;12/14/2025;Bus shelter;Aarhus;223280,48;DKK
30-06-2025;07/06/2025;Citylight;Koebenhavn;8252,93;DKK
15-08-2022;08/21/2022;Billboard;Odense;214457,61;DKK
27-11-2023;12/03/2023;Storformat;Landsdaekkende;180290,05;DKK
04-04-2022;04/10/2022;Bus shelter;Odense;49562,21;DKK
28-08-2023;09/03/2023;Citylight;Odense;115422,12;DKK
02-01-2023;01/08/2023;Billboard;Aalborg;44557,92;DKK
05-12-2022;12/11/2022;Citylight;Landsdaekkende;331846,57;DKK
18-08-2025;08/24/2025;Billboard;Aarhus;328477,38;DKK
15-01-2024;01/21/2024;Citylight;Odense;70713,77;DKK
21-07-2025;07/27/2025;Citylight;Odense;13083,67;DKK
13-10-2025;10/19/2025;Citylight;Odense;83564,34;DKK
13-05-2024;05/19/2024;Storformat;Koebenhavn;127633,73;DKK
24-01-2022;01/30/2022;Storformat;Odense;86060,84;DKK
20-01-2025;01/26/2025;Bus shelter;Landsdaekkende;77378,75;DKK
15-05-2023;05/21/2023;Billboard;Landsdaekkende;178352,92;DKK
18-12-2023;12/24/2023;Billboard;Aalborg;98187,27;DKK
05-02-2024;02/11/2024;Billboard;Aarhus;333839,22;DKK
01-12-2025;12/07/2025;Bus shelter;Koebenhavn;156667,67;DKK
21-07-2025;07/27/2025;Storformat;Aalborg;21594,24;DKK
15-05-2023;05/21/2023;Billboard;Aalborg;194355,26;DKK
30-12-2024;01/05/2025;Billboard;Odense;22421,31;DKK
13-05-2024;05/19/2024;Storformat;Aalborg;223989,16;DKK
11-08-2025;08/17/2025;Bus shelter;Odense;136532,41;DKK
06-02-2023;02/12/2023;Billboard;Odense;14342,93;EUR
02-10-2023;10/08/2023;Storformat;Aarhus;95413,56;DKK
15-12-2025;12/21/2025;Billboard;Aarhus;63394,37;DKK
10-03-2025;03/16/2025;Citylight;Aalborg;4194,97;EUR
19-05-2025;05/25/2025;Citylight;Odense;27996,41;EUR
16-01-2023;01/22/2023;Citylight;Odense;80607,86;DKK
11-11-2024;11/17/2024;Citylight;Aarhus;173872,43;DKK
13-10-2025;10/19/2025;Billboard;Landsdaekkende;83312,62;DKK
29-04-2024;05/05/2024;Bus shelter;Aalborg;73907,50;DKK
17-10-2022;10/23/2022;Billboard;Aalborg;93848,36;DKK
04-12-2023;12/10/2023;Storformat;Odense;342275,68;DKK
25-08-2025;08/31/2025;Citylight;Odense;156329,91;DKK
14-10-2024;10/20/2024;Storformat;Aarhus;20231,21;EUR
01-04-2024;04/07/2024;Citylight;Koebenhavn;15566,78;EUR
17-02-2025;02/23/2025;Billboard;Landsdaekkende;57598,31;DKK
31-01-2022;02/06/2022;Storformat;Koebenhavn;158530,23;DKK
24-10-2022;10/30/2022;Storformat;Aarhus;103415,39;DKK
29-07-2024;08/04/2024;Billboard;Aarhus;39153,39;DKK
05-06-2023;06/11/2023;Storformat;Aarhus;88260,34;DKK
07-04-2025;04/13/2025;Billboard;Landsdaekkende;373927,62;DKK
17-10-2022;10/23/2022;Bus shelter;Aalborg;64884,16;DKK
17-06-2024;06/23/2024;Billboard;Landsdaekkende;60413,86;DKK
11-08-2025;08/17/2025;Billboard;Aalborg;74812,87;DKK
28-07-2025;08/03/2025;Storformat;Landsdaekkende;20464,33;DKK
09-06-2025;06/15/2025;Storformat;Koebenhavn;12303,69;EUR
29-12-2025;01/04/2026;Billboard;Koebenhavn;58860,77;DKK
02-12-2024;12/08/2024;Bus shelter;Koebenhavn;147954,12;DKK
30-06-2025;07/06/2025;Billboard;Landsdaekkende;17975,51;DKK
09-09-2024;09/15/2024;Billboard;Aalborg;253267,86;DKK
29-09-2025;10/05/2025;Storformat;Koebenhavn;32629,84;DKK
08-01-2024;01/14/2024;Citylight;Aalborg;36714,51;DKK
16-01-2023;01/22/2023;Citylight;Aarhus;10093,43;EUR
02-09-2024;09/08/2024;Billboard;Aarhus;110992,37;DKK
02-12-2024;12/08/2024;Storformat;Koebenhavn;123799,09;DKK
23-06-2025;06/29/2025;Billboard;Aarhus;13241,26;EUR
02-09-2024;09/08/2024;Citylight;Odense;89070,69;DKK
29-09-2025;10/05/2025;Storformat;Aarhus;30586,01;DKK
07-11-2022;11/13/2022;Citylight;Koebenhavn;177772,44;DKK
17-04-2023;04/23/2023;Bus shelter;Aarhus;231968,27;DKK
25-04-2022;05/01/2022;Bus shelter;Aalborg;119773,80;DKK
26-05-2025;06/01/2025;Bus shelter;Koebenhavn;180724,60;DKK
28-07-2025;08/03/2025;Bus shelter;Aalborg;22044,36;DKK
03-06-2024;06/09/2024;Citylight;Koebenhavn;29412,67;EUR
20-02-2023;02/26/2023;Citylight;Aarhus;270458,25;DKK
19-08-2024;08/25/2024;Storformat;Landsdaekkende;178557,07;DKK
17-02-2025;02/23/2025;Billboard;Aalborg;67327,55;DKK
14-11-2022;11/20/2022;Storformat;Landsdaekkende;104283,63;DKK
06-06-2022;06/12/2022;Bus shelter;Odense;133886,23;DKK
09-05-2022;05/15/2022;Bus shelter;Aarhus;105046,06;DKK
02-06-2025;06/08/2025;Billboard;Koebenhavn;181722,43;DKK
05-05-2025;05/11/2025;Billboard;Aarhus;285557,72;DKK
24-07-2023;07/30/2023;Bus shelter;Odense;1438,34;EUR
06-02-2023;02/12/2023;Bus shelter;Odense;142598,41;DKK
02-06-2025;06/08/2025;Bus shelter;Odense;177258,20;DKK
25-03-2024;03/31/2024;Billboard;Landsdaekkende;57905,53;DKK
22-08-2022;08/28/2022;Storformat;Koebenhavn;129929,15;DKK
11-07-2022;07/17/2022;Citylight;Aalborg;20222,02;DKK
21-03-2022;03/27/2022;Citylight;Aalborg;94511,72;DKK
22-01-2024;01/28/2024;Storformat;Koebenhavn;83652,40;DKK
08-01-2024;01/14/2024;Citylight;Aarhus;29017,07;DKK
05-09-2022;09/11/2022;Bus shelter;Landsdaekkende;136059,75;DKK
12-08-2024;08/18/2024;Billboard;Odense;112112,61;DKK
22-09-2025;09/28/2025;Citylight;Odense;33950,52;DKK
02-01-2023;01/08/2023;Citylight;Aalborg;41067,35;DKK
24-11-2025;11/30/2025;Bus shelter;Odense;225071,19;DKK
17-02-2025;02/23/2025;Bus shelter;Aarhus;11485,97;EUR
26-05-2025;06/01/2025;Billboard;Aarhus;246935,18;DKK
18-04-2022;04/24/2022;Storformat;Landsdaekkende;172208,79;DKK
12-05-2025;05/18/2025;Citylight;Odense;89984,75;DKK
19-12-2022;12/25/2022;Storformat;Odense;99823,78;DKK
17-07-2023;07/23/2023;Billboard;Koebenhavn;11914,35;DKK
01-12-2025;12/07/2025;Storformat;Odense;168966,05;DKK
06-10-2025;10/12/2025;Storformat;Landsdaekkende;8024,73;EUR
22-08-2022;08/28/2022;Citylight;Landsdaekkende;13193,19;EUR
03-10-2022;10/09/2022;Billboard;Odense;30083,30;DKK
14-11-2022;11/20/2022;Billboard;Koebenhavn;91913,01;DKK
08-04-2024;04/14/2024;Bus shelter;Odense;175767,07;DKK
07-08-2023;08/13/2023;Bus shelter;Landsdaekkende;124375,61;DKK
16-09-2024;09/22/2024;Citylight;Koebenhavn;179300,06;DKK
04-04-2022;04/10/2022;Storformat;Aalborg;8460,96;EUR
09-12-2024;12/15/2024;Bus shelter;Landsdaekkende;76875,36;DKK
17-03-2025;03/23/2025;Citylight;Aarhus;43460,00;DKK
22-12-2025;12/28/2025;Billboard;Landsdaekkende;78493,05;DKK
14-03-2022;03/20/2022;Bus shelter;Aarhus;7224,16;EUR
09-10-2023;10/15/2023;Storformat;Koebenhavn;163950,95;DKK
11-08-2025;08/17/2025;Billboard;Aarhus;7769,15;EUR
05-09-2022;09/11/2022;Storformat;Odense;25244,39;EUR
08-09-2025;09/14/2025;Storformat;Odense;31968,70;EUR
09-12-2024;12/15/2024;Bus shelter;Odense;158959,50;DKK
07-11-2022;11/13/2022;Billboard;Aalborg;168074,46;DKK
02-12-2024;12/08/2024;Storformat;Aarhus;117381,63;DKK
18-11-2024;11/24/2024;Bus shelter;Landsdaekkende;152560,45;DKK
10-11-2025;11/16/2025;Citylight;Odense;381398,40;DKK
24-01-2022;01/30/2022;Billboard;Aalborg;10191,35;EUR
22-07-2024;07/28/2024;Bus shelter;Odense;2117,21;EUR
18-07-2022;07/24/2022;Citylight;Koebenhavn;12842,52;DKK
21-08-2023;08/27/2023;Bus shelter;Aalborg;176822,33;DKK
29-12-2025;01/04/2026;Bus shelter;Landsdaekkende;50854,34;DKK
08-01-2024;01/14/2024;Storformat;Koebenhavn;32899,03;DKK
06-02-2023;02/12/2023;Billboard;Odense;14785,39;EUR
20-01-2025;01/26/2025;Bus shelter;Koebenhavn;67020,21;DKK
24-02-2025;03/02/2025;Bus shelter;Odense;61847,34;DKK
30-05-2022;06/05/2022;Billboard;Odense;386401,00;DKK
11-09-2023;09/17/2023;Billboard;Odense;65251,23;DKK
30-06-2025;07/06/2025;Bus shelter;Koebenhavn;16962,22;DKK
11-03-2024;03/17/2024;Storformat;Landsdaekkende;2008,15;EUR
25-04-2022;05/01/2022;Storformat;Odense;182638,35;DKK
08-12-2025;12/14/2025;Bus shelter;Aalborg;101421,61;DKK
29-05-2023;06/04/2023;Bus shelter;Landsdaekkende;360044,63;DKK
27-02-2023;03/05/2023;Storformat;Aarhus;197380,96;DKK
08-05-2023;05/14/2023;Billboard;Aalborg;28764,81;EUR
15-12-2025;12/21/2025;Citylight;Aarhus;96467,12;DKK
18-04-2022;04/24/2022;Bus shelter;Aalborg;161255,66;DKK
06-10-2025;10/12/2025;Storformat;Koebenhavn;54908,12;DKK
30-10-2023;11/05/2023;Citylight;Landsdaekkende;117791,15;DKK
01-08-2022;08/07/2022;Bus shelter;Aalborg;81440,34;DKK
21-11-2022;11/27/2022;Billboard;Koebenhavn;344634,85;DKK
11-04-2022;04/17/2022;Storformat;Aalborg;125801,01;DKK
29-08-2022;09/04/2022;Citylight;Aalborg;105777,15;DKK
03-11-2025;11/09/2025;Billboard;Aarhus;202257,88;DKK
17-07-2023;07/23/2023;Citylight;Aarhus;24537,30;DKK
28-02-2022;03/06/2022;Citylight;Landsdaekkende;162024,17;DKK
10-02-2025;02/16/2025;Billboard;Koebenhavn;120751,25;DKK
27-01-2025;02/02/2025;Billboard;Aarhus;146472,67;DKK
17-04-2023;04/23/2023;Citylight;Landsdaekkende;271306,10;DKK
13-01-2025;01/19/2025;Billboard;Aalborg;62434,61;DKK
03-07-2023;07/09/2023;Storformat;Koebenhavn;42721,69;DKK
24-11-2025;11/30/2025;Storformat;Aarhus;138951,00;DKK
06-01-2025;01/12/2025;Bus shelter;Koebenhavn;107088,34;DKK
07-02-2022;02/13/2022;Citylight;Koebenhavn;133629,33;DKK
04-03-2024;03/10/2024;Storformat;Aalborg;39636,32;DKK
18-09-2023;09/24/2023;Storformat;Koebenhavn;59249,61;DKK
20-03-2023;03/26/2023;Storformat;Aalborg;46397,92;DKK
12-06-2023;06/18/2023;Storformat;Koebenhavn;129227,43;DKK
06-06-2022;06/12/2022;Billboard;Aalborg;55729,31;DKK
10-10-2022;10/16/2022;Billboard;Landsdaekkende;43785,41;DKK
27-06-2022;07/03/2022;Billboard;Aalborg;52118,24;DKK
01-09-2025;09/07/2025;Citylight;Landsdaekkende;104640,92;DKK
19-12-2022;12/25/2022;Bus shelter;Koebenhavn;70552,39;DKK
24-07-2023;07/30/2023;Bus shelter;Aarhus;1400,93;EUR
17-03-2025;03/23/2025;Billboard;Koebenhavn;3103,09;EUR
22-08-2022;08/28/2022;Storformat;Landsdaekkende;113498,32;DKK
18-12-2023;12/24/2023;Citylight;Odense;76689,11;DKK
07-07-2025;07/13/2025;Citylight;Aalborg;9898,69;DKK
17-11-2025;11/23/2025;Bus shelter;Odense;109517,68;DKK
04-08-2025;08/10/2025;Billboard;Aalborg;77138,27;DKK
20-03-2023;03/26/2023;Citylight;Koebenhavn;29477,88;DKK
21-02-2022;02/27/2022;Storformat;Aalborg;257633,32;DKK
11-04-2022;04/17/2022;Bus shelter;Koebenhavn;104649,56;DKK
03-01-2022;01/09/2022;Citylight;Aarhus;40767,43;DKK
14-02-2022;02/20/2022;Billboard;Landsdaekkende;284284,28;DKK
20-05-2024;05/26/2024;Storformat;Odense;147189,53;DKK
13-03-2023;03/19/2023;Bus shelter;Aalborg;21262,64;DKK
10-04-2023;04/16/2023;Billboard;Landsdaekkende;277583,71;DKK
09-12-2024;12/15/2024;Storformat;Odense;93314,97;DKK
25-11-2024;12/01/2024;Bus shelter;Koebenhavn;128870,86;DKK
22-05-2023;05/28/2023;Storformat;Landsdaekkende;122619,78;DKK
04-03-2024;03/10/2024;Storformat;Koebenhavn;19157,46;DKK
14-04-2025;04/20/2025;Billboard;Aarhus;47281,93;EUR
06-03-2023;03/12/2023;Citylight;Aalborg;43271,74;DKK
07-10-2024;10/13/2024;Bus shelter;Koebenhavn;78660,30;DKK
27-03-2023;04/02/2023;Citylight;Aarhus;150279,58;DKK
16-06-2025;06/22/2025;Citylight;Aalborg;63481,72;DKK
03-01-2022;01/09/2022;Bus shelter;Landsdaekkende;14606,94;DKK
02-01-2023;01/08/2023;Billboard;Landsdaekkende;44490,30;DKK
11-11-2024;11/17/2024;Citylight;Aalborg;180243,98;DKK
08-04-2024;04/14/2024;Billboard;Odense;15483,52;EUR
10-06-2024;06/16/2024;Citylight;Koebenhavn;248235,40;DKK
06-03-2023;03/12/2023;Storformat;Aarhus;23892,01;DKK
19-12-2022;12/25/2022;Billboard;Aarhus;71018,43;DKK
24-03-2025;03/30/2025;Storformat;Aarhus;118636,03;DKK
02-05-2022;05/08/2022;Storformat;Aalborg;344978,23;DKK
26-06-2023;07/02/2023;Billboard;Odense;74363,30;DKK
29-04-2024;05/05/2024;Citylight;Koebenhavn;113475,70;DKK
03-03-2025;03/09/2025;Citylight;Koebenhavn;94606,24;DKK
23-09-2024;09/29/2024;Bus shelter;Aarhus;35659,86;DKK
03-10-2022;10/09/2022;Storformat;Aarhus;32108,62;DKK
24-04-2023;04/30/2023;Billboard;Koebenhavn;328082,28;DKK
18-03-2024;03/24/2024;Citylight;Landsdaekkende;44214,93;DKK
22-05-2023;05/28/2023;Storformat;Landsdaekkende;117460,11;DKK
29-01-2024;02/04/2024;Storformat;Koebenhavn;129564,68;DKK
03-02-2025;02/09/2025;Storformat;Odense;182038,46;DKK
13-03-2023;03/19/2023;Citylight;Landsdaekkende;38058,72;DKK
18-11-2024;11/24/2024;Storformat;Landsdaekkende;135436,82;DKK
09-05-2022;05/15/2022;Storformat;Koebenhavn;150965,08;DKK
24-02-2025;03/02/2025;Bus shelter;Odense;94555,54;DKK
18-07-2022;07/24/2022;Storformat;Odense;12567,45;DKK
28-03-2022;04/03/2022;Billboard;Koebenhavn;136166,18;DKK
15-09-2025;09/21/2025;Citylight;Landsdaekkende;186782,29;DKK
08-08-2022;08/14/2022;Citylight;Aarhus;85905,33;DKK
12-02-2024;02/18/2024;Citylight;Aalborg;279162,10;DKK
21-04-2025;04/27/2025;Storformat;Odense;54608,11;DKK
01-05-2023;05/07/2023;Citylight;Odense;20138,24;EUR
10-02-2025;02/16/2025;Storformat;Landsdaekkende;95502,72;DKK
21-08-2023;08/27/2023;Bus shelter;Aalborg;176822,33;DKK
14-07-2025;07/20/2025;Citylight;Aarhus;27112,34;DKK
02-09-2024;09/08/2024;Citylight;Aarhus;123476,05;DKK
10-01-2022;01/16/2022;Citylight;Koebenhavn;43334,66;DKK
17-01-2022;01/23/2022;Storformat;Aarhus;7468,70;EUR
23-05-2022;05/29/2022;Bus shelter;Landsdaekkende;76386,90;DKK
10-07-2023;07/16/2023;Citylight;Landsdaekkende;1675,04;EUR
23-10-2023;10/29/2023;Bus shelter;Odense;149463,64;DKK
17-01-2022;01/23/2022;Citylight;Landsdaekkende;58532,55;DKK
24-07-2023;07/30/2023;Bus shelter;Aalborg;27920,77;DKK
07-10-2024;10/13/2024;Storformat;Aalborg;43285,42;DKK
17-11-2025;11/23/2025;Bus shelter;Koebenhavn;115970,56;DKK
19-09-2022;09/25/2022;Storformat;Aalborg;72657,01;DKK
30-09-2024;10/06/2024;Billboard;Aalborg;43281,70;DKK
22-04-2024;04/28/2024;Billboard;Koebenhavn;146098,17;DKK
10-03-2025;03/16/2025;Storformat;Odense;41635,40;DKK
28-07-2025;08/03/2025;Storformat;Aalborg;24055,58;DKK
03-11-2025;11/09/2025;Billboard;Koebenhavn;224102,83;DKK
23-05-2022;05/29/2022;Citylight;Aalborg;157001,37;DKK
05-08-2024;08/11/2024;Bus shelter;Odense;146082,17;DKK
27-05-2024;06/02/2024;Storformat;Aalborg;148135,35;DKK
04-09-2023;09/10/2023;Storformat;Landsdaekkende;329487,17;DKK
09-06-2025;06/15/2025;Storformat;Landsdaekkende;21483,44;EUR
21-10-2024;10/27/2024;Storformat;Aarhus;170749,29;DKK
23-09-2024;09/29/2024;Citylight;Landsdaekkende;51777,63;DKK
28-04-2025;05/04/2025;Billboard;Aalborg;122767,20;DKK
24-06-2024;06/30/2024;Citylight;Aarhus;74407,43;DKK
24-10-2022;10/30/2022;Bus shelter;Odense;112318,26;DKK
01-09-2025;09/07/2025;Citylight;Aalborg;123794,14;DKK
08-07-2024;07/14/2024;Billboard;Aarhus;13775,25;DKK
19-09-2022;09/25/2022;Citylight;Aalborg;93216,81;DKK
07-10-2024;10/13/2024;Citylight;Aalborg;50893,91;DKK
26-08-2024;09/01/2024;Storformat;Landsdaekkende;139937,90;DKK
28-04-2025;05/04/2025;Storformat;Aalborg;62008,12;DKK
19-08-2024;08/25/2024;Billboard;Aarhus;136588,36;DKK
01-04-2024;04/07/2024;Billboard;Landsdaekkende;112008,48;DKK
04-11-2024;11/10/2024;Billboard;Aarhus;50232,96;EUR
16-12-2024;12/22/2024;Billboard;Landsdaekkende;134323,05;DKK
12-08-2024;08/18/2024;Bus shelter;Aarhus;117506,00;DKK
18-07-2022;07/24/2022;Bus shelter;Aalborg;6278,53;DKK
31-10-2022;11/06/2022;Billboard;Odense;146685,10;DKK
30-12-2024;01/05/2025;Billboard;Aalborg;48425,79;DKK
10-02-2025;02/16/2025;Billboard;Odense;122090,54;DKK
05-06-2023;06/11/2023;Bus shelter;Landsdaekkende;145909,89;DKK
06-05-2024;05/12/2024;Citylight;Aalborg;128851,10;DKK
20-11-2023;11/26/2023;Citylight;Koebenhavn;243508,15;DKK
14-03-2022;03/20/2022;Billboard;Landsdaekkende;25446,18;DKK
07-03-2022;03/13/2022;Storformat;Aarhus;115178,85;DKK
29-08-2022;09/04/2022;Bus shelter;Aalborg;114754,74;DKK
27-01-2025;02/02/2025;Storformat;Aarhus;147271,60;DKK
20-05-2024;05/26/2024;Storformat;Aarhus;115924,99;DKK
28-11-2022;12/04/2022;Billboard;Odense;188087,76;DKK
01-09-2025;09/07/2025;Storformat;Aalborg;52861,32;DKK
19-06-2023;06/25/2023;Bus shelter;Aalborg;151572,49;DKK
22-09-2025;09/28/2025;Billboard;Koebenhavn;25176,09;DKK
01-07-2024;07/07/2024;Citylight;Landsdaekkende;45989,64;DKK
17-10-2022;10/23/2022;Storformat;Landsdaekkende;50996,28;DKK
17-03-2025;03/23/2025;Storformat;Aalborg;20598,07;DKK
25-07-2022;07/31/2022;Citylight;Koebenhavn;25053,86;DKK
20-11-2023;11/26/2023;Storformat;Aalborg;163003,86;DKK
03-10-2022;10/09/2022;Billboard;Odense;31694,42;DKK
21-08-2023;08/27/2023;Bus shelter;Landsdaekkende;228270,30;DKK
30-09-2024;10/06/2024;Citylight;Aarhus;72441,29;DKK
13-03-2023;03/19/2023;Bus shelter;Odense;20795,98;DKK
24-01-2022;01/30/2022;Bus shelter;Odense;82922,50;DKK
01-01-2024;01/07/2024;Storformat;Landsdaekkende;45941,18;DKK
12-06-2023;06/18/2023;Billboard;Aalborg;129065,77;DKK
25-11-2024;12/01/2024;Bus shelter;Odense;93871,46;DKK
26-09-2022;10/02/2022;Citylight;Odense;104302,54;DKK
20-06-2022;06/26/2022;Billboard;Landsdaekkende;8890,92;EUR
17-03-2025;03/23/2025;Storformat;Aalborg;20598,07;DKK
25-12-2023;12/31/2023;Billboard;Aarhus;28192,69;DKK
13-11-2023;11/19/2023;Storformat;Aalborg;403532,08;DKK
15-07-2024;07/21/2024;Citylight;Aalborg;16686,67;DKK
22-07-2024;07/28/2024;Bus shelter;Odense;15615,10;DKK
20-01-2025;01/26/2025;Citylight;Odense;41757,45;DKK
30-01-2023;02/05/2023;Billboard;Landsdaekkende;201268,88;DKK
20-05-2024;05/26/2024;Billboard;Aalborg;104912,72;DKK
25-03-2024;03/31/2024;Bus shelter;Odense;70884,71;DKK
05-06-2023;06/11/2023;Bus shelter;Aarhus;110105,62;DKK
07-07-2025;07/13/2025;Storformat;Koebenhavn;16156,40;DKK
23-12-2024;12/29/2024;Billboard;Landsdaekkende;161350,33;DKK
22-05-2023;05/28/2023;Citylight;Aarhus;15920,94;EUR
26-12-2022;01/01/2023;Bus shelter;Landsdaekkende;79660,63;DKK
22-09-2025;09/28/2025;Citylight;Landsdaekkende;33632,32;DKK
04-07-2022;07/10/2022;Billboard;Landsdaekkende;5707,70;EUR
11-12-2023;12/17/2023;Bus shelter;Aarhus;347253,73;DKK
03-04-2023;04/09/2023;Bus shelter;Landsdaekkende;83889,99;DKK
07-02-2022;02/13/2022;Billboard;Aalborg;96898,03;DKK
22-01-2024;01/28/2024;Citylight;Koebenhavn;85138,20;DKK
18-09-2023;09/24/2023;Citylight;Landsdaekkende;75012,68;DKK
26-08-2024;09/01/2024;Citylight;Odense;95014,45;DKK
26-08-2024;09/01/2024;Citylight;Aalborg;141800,97;DKK
23-09-2024;09/29/2024;Bus shelter;Odense;25805,74;DKK
18-11-2024;11/24/2024;Citylight;Koebenhavn;80933,37;DKK
09-01-2023;01/15/2023;Bus shelter;Aalborg;49197,04;DKK
30-10-2023;11/05/2023;Billboard;Aarhus;190331,10;DKK
29-07-2024;08/04/2024;Bus shelter;Koebenhavn;18563,32;DKK
27-05-2024;06/02/2024;Bus shelter;Odense;114420,84;DKK
04-03-2024;03/10/2024;Billboard;Landsdaekkende;28026,87;DKK
06-03-2023;03/12/2023;Storformat;Odense;27816,31;DKK
20-10-2025;10/26/2025;Storformat;Landsdaekkende;39926,48;EUR
20-06-2022;06/26/2022;Bus shelter;Koebenhavn;56736,79;DKK
29-01-2024;02/04/2024;Citylight;Koebenhavn;134964,21;DKK
21-04-2025;04/27/2025;Citylight;Landsdaekkende;77753,73;DKK
11-03-2024;03/17/2024;Billboard;Koebenhavn;37314,10;DKK
20-03-2023;03/26/2023;Storformat;Landsdaekkende;20513,79;DKK
27-06-2022;07/03/2022;Bus shelter;Koebenhavn;34126,10;DKK
29-08-2022;09/04/2022;Billboard;Odense;20757,14;EUR
31-01-2022;02/06/2022;Bus shelter;Landsdaekkende;161341,86;DKK
12-09-2022;09/18/2022;Storformat;Aalborg;84577,49;DKK
22-01-2024;01/28/2024;Billboard;Aalborg;69329,97;DKK
16-05-2022;05/22/2022;Bus shelter;Landsdaekkende;337815,59;DKK
17-06-2024;06/23/2024;Billboard;Aalborg;77625,70;DKK
15-04-2024;04/21/2024;Citylight;Koebenhavn;303097,22;DKK
31-10-2022;11/06/2022;Storformat;Aalborg;71210,57;DKK
25-12-2023;12/31/2023;Bus shelter;Koebenhavn;61066,10;DKK
15-01-2024;01/21/2024;Storformat;Odense;65082,96;DKK
01-01-2024;01/07/2024;Bus shelter;Koebenhavn;32864,15;DKK
07-02-2022;02/13/2022;Billboard;Aarhus;98445,30;DKK
06-05-2024;05/12/2024;Bus shelter;Aalborg;161583,93;DKK
17-11-2025;11/23/2025;Bus shelter;Aalborg;120370,96;DKK
30-12-2024;01/05/2025;Citylight;Aarhus;46862,86;DKK
