dato;butiksomsaetning_dkk;webshop_omsaetning_dkk
29/01/2024;1578642,90;253840,72
05/01/2025;1752849,74;464853,64
01/02/2023;1448060,64;430495,78
24/06/2025;2533300,22;827591,87
24/03/2022;1914268,38;572712,17
19/09/2022;1208336,39;302569,03
05/07/2022;1486463,37;452350,69
25/04/2025;3674111,02;1237868,33
01/07/2023;4395492,75;1266078,98
26/03/2022;3131040,14;623430,56
10/09/2025;1584847,06;580394,32
23/12/2022;1836440,49;558275,37
26/06/2022;2201652,38;692554,23
18/04/2023;2816059,51;725346,76
09/08/2025;2802543,11;620326,50
27/06/2025;3865601,51;866154,54
26/12/2023;1443102,92;440517,47
27/07/2025;1452262,21;498146,84
16/12/2023;4023919,40;1263811,83
12/04/2025;4678824,53;1563245,30
04/02/2022;2031288,13;648660,98
14/02/2025;2166043,70;659817,49
25/07/2024;1756783,38;612343,28
25/05/2025;2852491,54;679026,02
20/12/2024;3631231,80;839398,32
30/04/2024;2841155,25;1048712,32
01/10/2024;1409503,10;442537,29
15/09/2022;1587710,69;386364,60
16/02/2024;1955081,58;574047,38
01/05/2024;3105502,74;758060,99
27/03/2025;2042008,26;616678,86
20/05/2022;3134396,26;1245181,83
11/11/2024;1448613,13;379116,08
08/07/2024;1570695,71;392727,61
14/03/2024;1831906,58;565549,31
29/02/2024;1945772,18;619077,35
03/04/2025;2050077,82;492285,87
02/06/2024;2867868,94;600964,75
05/03/2023;1607034,04;512158,13
09/09/2025;1580134,39;427503,65
04/05/2023;2983797,74;792191,01
26/08/2023;2406351,95;690138,60
28/05/2023;2495684,18;529798,10
15/04/2025;3423999,65;943816,17
29/11/2024;5153598,00;1422559,81
09/05/2022;2101605,93;482268,64
14/04/2022;2964553,98;1096276,34
04/04/2024;3410496,84;946073,31
11/10/2024;1698879,42;566117,30
03/12/2025;1689201,35;473304,62
25/05/2023;2852873,38;852405,91
25/10/2022;1153219,31;404431,36
10/03/2025;1573098,09;490205,76
07/08/2025;1767475,69;454907,08
22/05/2022;2411864,12;534919,39
16/07/2022;2261358,41;836608,50
29/05/2022;2789010,23;647094,04
17/04/2022;2608060,30;735750,66
28/05/2025;3184824,44;905066,69
16/06/2024;3005564,31;692734,25
18/12/2025;3009265,08;1111171,60
10/01/2024;1367519,82;309173,03
22/02/2022;1719630,49;522855,98
30/01/2025;1818622,59;705866,97
25/05/2022;2967739,22;860843,36
06/04/2022;2383020,06;865092,91
16/11/2022;1524135,46;339659,38
13/06/2023;2261306,01;908594,33
20/09/2022;1402987,05;445893,07
17/01/2024;1401032,94;312750,41
21/01/2022;1315263,99;424356,72
29/10/2025;1781783,81;308606,87
06/06/2022;2257835,00;693428,84
13/10/2025;1338608,42;392102,46
07/09/2024;2825019,12;951311,16
08/12/2024;1745446,19;412971,36
24/02/2024;2873027,68;1173558,36
08/10/2022;2512840,30;531140,15
08/05/2022;2459987,32;649797,59
02/12/2023;5124754,89;1643490,85
04/08/2023;1746586,35;411982,97
09/03/2024;2967988,07;1008780,28
08/12/2025;2502969,16;602056,44
09/01/2023;950191,14;244912,10
28/03/2025;2006583,25;599484,12
29/03/2024;2494222,48;740928,02
17/11/2025;3154654,90;832284,33
22/09/2023;1803742,62;526943,99
28/06/2025;4792857,20;1204960,63
22/04/2023;5077144,89;1291887,33
24/07/2022;1299876,78;308040,30
21/06/2023;2990394,71;734375,33
24/10/2025;2205579,16;442988,01
25/09/2025;1995639,78;391489,90
31/10/2023;1396824,49;428433,60
22/06/2023;3015502,91;842200,35
15/08/2023;1405429,83;407088,06
10/12/2023;1458473,65;417789,02
17/07/2022;1261433,84;385511,97
20/07/2023;1600065,27;463819,72
13/09/2022;1420322,25;350034,12
05/06/2023;2615839,31;614376,41
02/03/2024;2964992,63;984978,27
26/05/2024;2926069,98;1161160,04
30/10/2025;1729065,81;574509,07
14/01/2022;1424679,54;344246,69
27/04/2025;2646025,55;955061,67
19/08/2025;1564111,69;599183,67
31/01/2022;1515493,67;350528,13
04/12/2025;1710675,39;497803,26
11/01/2023;1100991,08;262091,74
21/04/2023;3636581,62;977047,90
01/07/2024;1305091,57;436167,82
05/09/2023;1472174,48;355105,48
23/03/2025;1703374,87;459950,64
16/05/2024;3562711,08;1124219,28
06/12/2023;1565728,19;504020,12
07/04/2022;2548641,75;740065,44
05/10/2024;2641279,34;697462,97
16/09/2022;1608162,50;591036,61
02/07/2023;2368374,55;582168,57
28/09/2023;1714937,82;490457,09
08/04/2022;2885238,77;865944,94
15/02/2023;1546838,96;489467,22
15/05/2022;2496403,31;599249,58
13/09/2023;1636381,67;457278,18
23/07/2024;1488033,47;426196,74
08/06/2024;4803389,66;1201592,98
04/02/2023;2523334,49;614387,72
11/10/2023;1567959,99;334931,19
21/10/2023;2628629,24;720504,80
03/02/2024;3445617,05;618692,50
28/05/2024;2685758,24;785424,05
14/09/2022;1531322,86;421319,10
09/04/2022;3943477,04;1277455,77
02/10/2025;1522553,28;469520,03
29/05/2023;2154905,22;742249,87
24/08/2022;1460520,42;427291,41
05/05/2024;3058826,20;706475,10
27/02/2023;1323462,32;375760,04
12/04/2024;3892850,79;1075641,14
09/05/2023;2579315,12;672893,93
17/09/2022;2523099,38;747400,69
06/04/2023;3227813,04;978377,82
12/10/2025;1388885,85;402669,14
12/07/2022;1295213,03;438246,94
28/01/2025;1685527,18;440396,13
26/12/2024;1348410,63;348199,46
17/10/2025;2011797,83;705263,51
22/12/2023;2366760,58;578022,03
18/04/2025;4263053,94;1264447,24
15/09/2025;1169908,52;342756,39
24/03/2025;1599099,25;465716,60
26/02/2024;1632659,92;401105,86
30/03/2022;1750227,97;363688,74
09/05/2025;3611480,68;884695,22
26/11/2025;3452286,28;934822,75
20/03/2024;1723289,05;507282,92
23/06/2025;2277696,39;681847,09
19/12/2023;1755586,93;514438,54
17/04/2024;3143510,43;865098,24
10/08/2023;1476677,90;470905,08
03/09/2022;2970876,39;579477,97
12/07/2024;2305689,52;441744,69
27/04/2022;2576320,05;734763,57
19/05/2025;2225819,21;687414,18
25/12/2024;1278252,44;408497,40
04/07/2023;1474145,98;374323,67
10/10/2022;1095849,80;239674,02
18/10/2023;1643520,74;394618,06
17/05/2024;3666927,48;1255152,91
21/05/2023;2554880,53;758766,85
21/01/2023;2151378,16;504972,18
04/05/2025;2924275,15;975971,25
07/05/2023;2798485,64;606674,73
05/01/2022;1151752,37;301231,82
13/03/2022;1616856,56;445003,83
06/04/2024;4817097,77;1530077,48
22/03/2024;2447775,31;511664,69
29/04/2022;2788899,14;1109815,25
24/08/2023;1653166,32;449982,23
22/07/2023;2467254,92;709464,18
03/01/2024;1234390,50;255614,98
04/07/2025;3424478,11;917929,58
20/12/2025;4459274,05;1317330,19
09/08/2023;1470138,31;474304,50
04/06/2022;4658945,55;1525985,95
03/04/2022;1474930,74;384413,46
07/06/2022;2833732,24;714014,37
18/11/2025;3240752,28;816237,11
08/03/2024;2165905,26;626925,10
13/07/2025;1621316,66;537026,65
04/02/2025;1688819,93;453898,84
25/05/2024;5597630,96;1379303,32
18/09/2022;1250767,15;426816,18
01/03/2023;1498006,54;519024,99
17/05/2022;2296538,69;725523,06
14/07/2023;2002225,23;449559,26
30/01/2023;1210884,95;346934,21
02/01/2025;2015201,58;502424,64
03/06/2023;4710840,49;1294334,79
22/09/2024;1190433,89;547234,11
06/11/2022;1240292,46;352374,50
27/01/2024;2605312,22;768486,63
12/03/2025;1839380,01;461055,81
03/02/2022;1806737,32;613294,75
21/07/2025;1278785,24;394372,08
24/02/2022;1964003,64;710768,47
09/08/2022;1391477,65;403009,62
29/01/2023;1415732,42;374521,85
17/05/2025;5243556,69;1447985,41
05/09/2024;1928171,19;596325,94
07/12/2024;3166368,50;608800,18
11/03/2024;1535954,27;377623,52
18/02/2025;1566145,55;491954,48
23/01/2024;1574847,31;452964,08
29/12/2024;1040500,98;372454,58
07/10/2022;1718989,15;435619,78
06/09/2022;1314346,99;309447,42
28/10/2022;1546975,73;464896,67
19/05/2023;3799597,73;878055,35
20/11/2023;2608227,65;1025067,52
20/11/2025;3845462,85;1255610,92
25/06/2022;4079833,62;1162390,31
02/04/2022;2900161,73;825975,97
31/08/2025;1443317,86;462853,41
14/08/2022;1368135,56;308617,10
14/03/2025;2101661,03;490789,77
15/05/2025;3242039,99;794175,30
16/12/2025;2895729,87;559631,72
13/10/2024;1489161,94;392533,30
30/03/2025;1835963,62;401782,42
24/09/2024;1441211,97;360116,03
03/09/2025;1559836,29;474936,70
23/08/2023;1456489,96;396982,17
30/09/2023;2953874,87;648196,90
22/01/2023;1163547,86;376001,03
11/10/2022;1149886,98;259984,05
30/06/2023;2858515,42;868172,51
14/06/2022;2436219,44;592097,27
05/03/2024;1932181,24;359525,62
30/12/2025;1575084,05;458903,99
19/11/2022;2539289,38;689256,36
02/12/2024;1418720,22;435043,26
31/08/2023;1569474,84;530875,17
15/11/2024;2307124,33;530032,61
30/04/2022;4716311,91;1467811,35
31/01/2024;1842997,24;404224,16
20/05/2023;5206371,06;993162,37
14/04/2023;3656048,93;971881,29
27/07/2022;1367535,05;507840,09
21/07/2023;1789811,44;578849,33
14/05/2025;3332505,83;723906,63
23/06/2024;2768709,16;856548,00
17/11/2024;1720243,41;501139,13
04/11/2023;2489831,58;747331,16
28/04/2022;2926327,96;760026,52
17/08/2022;1385441,09;426614,41
12/02/2024;1507102,10;431411,63
10/06/2023;5134770,51;1273712,57
31/07/2022;1167434,53;372541,84
15/06/2022;2429810,39;660359,50
17/09/2025;1633109,42;428249,48
23/08/2024;2130214,68;604738,60
23/05/2022;2483185,54;866189,02
05/01/2023;1355800,04;272093,97
29/07/2024;1354042,71;434712,23
10/10/2023;1267949,94;312688,75
27/04/2023;2954985,81;799197,46
13/03/2025;2031618,91;518932,43
04/10/2023;1424882,86;390217,54
30/07/2025;1510403,91;352678,92
08/01/2025;1424049,04;348453,46
12/09/2022;1311404,90;327856,16
11/05/2024;5188850,53;1532714,31
15/02/2022;1513144,33;469734,72
25/12/2025;1386912,76;384707,52
22/08/2024;1804875,38;409701,19
30/01/2022;1437219,59;521087,07
08/09/2022;1435572,50;446121,81
14/05/2023;2430700,89;570659,98
23/12/2023;2894817,25;715307,54
16/02/2025;1655740,03;477555,28
22/01/2025;1570160,82;510126,90
21/08/2022;1497756,40;416005,57
19/01/2023;1458485,95;280784,54
22/10/2022;2735622,69;725202,42
30/04/2023;2993563,36;874229,59
04/12/2023;1396625,96;363749,67
19/04/2022;2744002,34;717849,99
17/06/2023;4369703,05;1618596,26
28/12/2023;1738191,65;617538,70
23/11/2022;3141118,76;910241,41
10/02/2024;2950471,61;719062,13
20/03/2022;1550323,14;445451,64
07/01/2025;1330950,99;322168,82
06/09/2024;2127628,80;528326,60
18/07/2024;2011534,13;629542,78
25/12/2022;1523900,48;373777,41
23/02/2022;1804299,31;446711,28
13/02/2022;1576444,78;499947,96
08/05/2023;2366683,84;599915,16
30/11/2023;3695390,26;969078,52
31/01/2025;2076213,69;739775,90
